Date,Open,High,Low,Close,Volume
2016-10-04,189.08,191.06,185.86,190.12,372776
2016-10-05,191.73,191.77,185.42,185.63,369200
2016-10-06,185.77,185.94,183.04,184.24,487343
2016-10-07,185.12,190.67,184.76,189.81,390515
2016-10-10,190.54,192.12,189.43,191.41,137164
2016-10-11,190.78,192.6,189.78,190.2,189328
2016-10-12,191.14,192.38,190.45,191.82,182726
2016-10-13,191.41,193.97,190.62,193.38,195592
2016-10-14,193.92,194.99,193.1,194.46,225117
2016-10-17,194.17,196.0,193.8,195.56,234113
2016-10-18,196.43,196.68,195.31,195.34,150226
2016-10-19,195.85,195.85,194.01,195.62,222318
2016-10-20,195.23,195.23,192.4,192.6,136540
2016-10-21,191.78,193.06,191.11,192.92,190048
2016-10-24,194.92,194.92,192.75,194.14,274443
2016-10-25,197.2,201.92,196.19,201.73,527263
2016-10-26,201.17,204.73,200.8,203.59,492496
2016-10-27,204.09,204.65,200.67,201.28,462236
2016-10-28,200.89,203.63,200.17,201.08,218291
2016-10-31,202.12,203.99,201.05,203.52,335383
2016-11-01,203.99,205.08,202.28,203.84,515333
2016-11-02,203.85,204.88,202.48,204.67,417179
2016-11-03,205.49,208.13,204.82,205.76,417487
2016-11-04,205.7,207.18,205.02,205.45,278322
2016-11-07,206.28,207.55,206.13,207.1,237273
2016-11-08,206.43,208.78,205.83,207.93,304489
2016-11-09,207.87,208.52,206.1,207.88,263629
2016-11-10,208.99,209.95,207.61,209.51,402748
2016-11-11,209.61,211.56,208.65,211.53,300651
2016-11-14,213.0,214.79,211.58,212.07,334382
2016-11-15,214.19,214.62,210.99,212.07,241323
2016-11-16,212.09,213.53,210.71,213.07,310678
2016-11-17,213.08,214.86,212.14,212.86,343611
2016-11-18,212.93,213.47,211.43,211.48,263798
2016-11-21,211.72,214.68,210.06,210.88,269022
2016-11-22,211.3,211.96,208.2,208.5,496032
2016-11-23,208.59,211.02,208.59,209.67,226139
2016-11-25,209.51,210.39,208.58,209.15,136721
2016-11-28,207.8,210.09,206.6,208.66,312705
2016-11-29,208.79,212.27,208.33,211.91,345984
2016-11-30,211.98,212.3,209.93,210.55,422159
2016-12-01,211.09,212.66,210.51,210.61,230405
2016-12-02,211.63,211.89,209.48,209.95,234928
2016-12-05,210.67,210.85,207.93,209.57,455027
2016-12-06,209.12,211.14,208.06,210.83,412732
2016-12-07,209.76,211.7,209.5,211.68,317403
2016-12-08,212.71,213.39,210.58,213.3,503567
2016-12-09,213.06,214.88,212.13,214.37,266884
2016-12-12,213.72,217.46,213.66,217.35,357474
2016-12-13,218.24,218.61,216.48,216.82,387046
2016-12-14,217.08,219.51,215.56,216.65,408857
2016-12-15,216.27,217.55,213.31,213.45,558855
2016-12-16,214.01,216.02,212.72,214.3,1230943
2016-12-19,214.74,218.5,213.46,218.38,454476
2016-12-20,219.37,219.37,216.23,217.06,209642
2016-12-21,216.24,217.19,215.85,216.48,203934
2016-12-22,217.17,217.36,215.57,217.23,163224
2016-12-23,217.73,218.65,216.4,217.46,104627
2016-12-27,217.69,218.4,216.63,217.41,112891
2016-12-28,218.31,218.31,215.25,215.58,122114
2016-12-29,215.67,217.02,215.6,216.12,126799
2016-12-30,217.16,217.17,215.66,216.4,152741
2017-01-03,217.81,218.88,214.74,216.04,231717
2017-01-04,216.95,218.86,215.89,217.8,264138
2017-01-05,217.82,219.34,217.16,217.78,234227
2017-01-06,217.79,219.33,215.84,218.82,241236
2017-01-09,218.98,218.99,216.67,216.97,296620
2017-01-10,217.72,219.58,217.01,219.42,277888
2017-01-11,219.57,220.48,218.1,220.09,274224
