Date,Open,High,Low,Close,Volume
2016-10-04,403.82,406.0,394.55,397.2,558306
2016-10-05,398.94,401.45,391.39,392.6,769397
2016-10-06,391.39,393.0,386.59,388.6,596897
2016-10-07,390.33,390.98,385.5,390.06,517011
2016-10-10,392.29,396.0,388.84,393.86,732014
2016-10-11,391.51,394.69,382.18,386.05,807968
2016-10-12,387.54,388.8,372.02,373.47,856319
2016-10-13,369.61,379.96,369.02,375.79,532407
2016-10-14,378.4,379.1,370.66,371.68,590366
2016-10-17,367.8,371.5,364.5,366.73,498012
2016-10-18,366.42,372.85,366.07,371.53,414019
2016-10-19,372.62,374.58,368.07,368.36,400030
2016-10-20,368.92,373.96,368.3,371.24,346406
2016-10-21,370.36,371.25,361.67,363.53,521980
2016-10-24,364.51,367.12,358.76,362.25,513913
2016-10-25,362.5,367.77,358.2,366.93,509344
2016-10-26,367.63,367.9,360.07,363.08,484040
2016-10-27,365.34,370.0,362.74,365.35,503894
2016-10-28,363.58,364.12,348.49,355.83,1060623
2016-10-31,357.21,358.55,344.85,345.02,921485
2016-11-01,345.52,352.31,340.8,346.55,974897
2016-11-02,346.65,346.65,341.57,343.66,722572
2016-11-03,343.51,346.43,331.95,336.01,1203254
2016-11-04,325.62,351.74,325.35,341.39,1885091
2016-11-07,347.48,366.84,344.19,365.39,1347384
2016-11-08,362.95,374.13,361.45,367.77,1302285
2016-11-09,385.35,420.46,383.5,418.42,3047947
2016-11-10,422.02,431.26,418.96,423.0,1430422
2016-11-11,418.42,421.72,411.14,419.79,822904
2016-11-14,421.22,452.96,418.84,444.52,1557103
2016-11-15,443.52,449.0,428.12,428.65,1118813
2016-11-16,428.0,430.92,419.94,420.08,815499
2016-11-17,406.14,410.11,398.02,404.56,1493382
2016-11-18,403.54,410.64,397.02,397.48,1413411
2016-11-21,398.98,410.0,398.36,405.48,922765
2016-11-22,406.25,407.93,395.27,398.97,918554
2016-11-23,393.61,403.35,390.24,402.41,972633
2016-11-25,402.34,402.34,394.5,398.16,282742
2016-11-28,397.11,398.32,389.45,390.38,729768
2016-11-29,391.77,394.49,386.54,387.26,752159
2016-11-30,387.18,388.28,377.15,379.24,965566
2016-12-01,379.48,381.97,374.42,375.56,824192
2016-12-02,375.85,378.5,371.32,372.71,723571
2016-12-05,375.1,377.89,369.05,369.82,661740
2016-12-06,371.59,371.77,365.32,368.95,725388
2016-12-07,365.28,366.57,348.82,362.01,1681353
2016-12-08,361.8,370.49,359.5,369.15,972970
2016-12-09,371.13,379.5,369.77,372.83,1290897
2016-12-12,391.99,396.68,387.0,387.1,1529344
2016-12-13,386.5,392.46,378.44,382.0,990677
2016-12-14,382.25,386.0,376.4,381.5,868811
2016-12-15,381.09,384.19,375.98,378.01,543120
2016-12-16,379.4,386.56,377.28,378.85,1054842
2016-12-19,379.82,383.28,371.27,371.75,794387
2016-12-20,378.27,378.27,368.86,371.02,747230
2016-12-21,370.16,372.44,364.48,365.06,559224
2016-12-22,365.88,372.5,361.95,372.38,668539
2016-12-23,371.67,382.31,371.65,381.78,801694
2016-12-27,383.91,391.49,382.12,385.95,790907
2016-12-28,387.88,387.88,376.41,378.75,545481
2016-12-29,378.41,379.47,372.79,373.72,383895
2016-12-30,375.3,375.3,364.92,367.09,614765
2017-01-03,370.84,384.94,368.44,379.7,1064460
2017-01-04,374.87,389.22,373.85,383.11,781487
2017-01-05,381.15,385.72,380.22,380.92,628243
2017-01-06,360.48,361.93,354.0,358.68,3255348
2017-01-09,359.21,360.39,349.24,355.06,1885574
2017-01-10,356.0,375.94,355.2,373.0,1787463
2017-01-11,371.84,379.95,361.66,364.47,1655955
2017-01-12,362.0,367.37,358.5,364.44,663695
2017-01-13,364.76,373.48,364.44,368.16,943787
