Date,Open,High,Low,Close,Volume
2016-10-04,120.99,123.48,119.01,119.19,958103
2016-10-05,119.83,121.42,119.48,121.24,584607
2016-10-06,121.2,121.2,119.95,120.67,340983
2016-10-07,120.13,120.2,118.55,119.7,887225
2016-10-10,120.02,120.12,116.9,117.04,1696081
2016-10-11,116.45,116.63,114.46,115.2,882897
2016-10-12,115.39,116.71,114.48,116.27,594981
2016-10-13,115.48,116.88,115.09,116.3,931345
2016-10-14,117.4,118.17,116.78,116.8,942942
2016-10-17,116.37,116.96,115.36,115.52,758087
2016-10-18,116.76,117.12,115.72,115.97,549055
2016-10-19,116.07,118.3,115.66,117.45,646699
2016-10-20,117.14,118.2,116.43,118.01,828269
2016-10-21,116.94,126.15,116.28,122.99,6596561
2016-10-24,123.91,124.5,119.08,119.67,2482553
2016-10-25,118.72,119.45,117.9,118.62,884821
2016-10-26,118.49,121.18,118.36,120.62,734181
2016-10-27,120.5,121.02,117.88,118.21,847399
2016-10-28,118.49,120.06,118.03,118.8,620405
2016-10-31,119.48,120.37,118.52,119.72,790892
2016-11-01,120.24,120.73,118.13,118.96,842760
2016-11-02,118.83,119.42,118.0,118.31,626643
2016-11-03,118.89,118.89,117.24,117.47,608748
2016-11-04,117.79,119.36,117.51,117.56,1143900
2016-11-07,120.46,124.9,120.46,124.24,1863262
2016-11-08,124.5,125.76,123.69,125.03,1080845
2016-11-09,123.09,128.01,123.07,126.85,1419808
2016-11-10,128.11,130.85,127.3,130.75,1572595
2016-11-11,129.85,131.72,129.28,131.71,1021541
2016-11-14,132.0,133.28,131.84,132.22,1525679
2016-11-15,131.99,133.54,129.69,133.48,988007
2016-11-16,132.36,133.47,132.12,133.38,815266
2016-11-17,133.5,133.68,131.83,131.95,730592
2016-11-18,131.55,132.49,131.05,131.2,609015
2016-11-21,131.99,132.5,131.49,131.71,660834
2016-11-22,132.15,132.15,130.88,131.71,759218
2016-11-23,131.13,132.03,131.13,131.86,684027
2016-11-25,131.93,132.96,131.86,132.92,374597
2016-11-28,132.34,132.89,130.4,130.5,843780
2016-11-29,130.45,131.92,129.66,131.34,851937
2016-11-30,131.92,134.27,131.92,133.71,1183380
2016-12-01,134.48,138.76,134.21,137.19,2044394
2016-12-02,136.7,137.8,135.49,136.79,1274340
2016-12-05,137.22,138.0,135.54,136.22,2048275
2016-12-06,135.7,136.47,135.47,136.4,1001459
2016-12-07,136.33,139.16,135.88,138.93,734191
2016-12-08,138.37,138.37,136.77,137.61,745562
2016-12-09,137.81,139.64,137.72,139.56,710876
2016-12-12,139.56,139.58,136.81,137.4,905888
2016-12-13,137.6,138.24,136.53,137.07,1098280
2016-12-14,136.78,137.98,135.4,135.57,903612
2016-12-15,135.71,136.49,135.21,136.21,838035
