Date,Open,High,Low,Close,Volume
2016-10-04,64.14,64.69,64.02,64.26,1597497
2016-10-05,64.25,65.4,64.24,64.48,2318339
2016-10-06,64.24,64.54,63.83,64.37,1757512
2016-10-07,64.67,65.29,63.95,64.28,1945338
2016-10-10,64.68,64.99,64.08,64.2,1823514
2016-10-11,64.15,64.16,63.54,63.75,1944584
2016-10-12,63.92,64.95,63.85,64.9,2141609
2016-10-13,64.62,64.83,64.05,64.81,2001996
2016-10-14,64.94,65.14,64.54,64.66,1626664
2016-10-17,64.7,65.05,64.28,64.39,2152897
2016-10-18,64.66,64.9,63.54,63.55,2262729
2016-10-19,64.6,64.6,63.03,63.36,3018958
2016-10-20,63.47,64.0,63.24,63.41,2043059
2016-10-21,63.19,63.42,62.77,63.4,1800110
2016-10-24,63.73,63.93,63.14,63.39,2108066
2016-10-25,63.04,63.33,62.56,63.13,1758017
2016-10-26,63.06,63.98,63.0,63.5,2040013
2016-10-27,63.5,63.62,62.08,62.31,2236454
2016-10-28,62.19,62.55,61.78,62.28,2324665
2016-10-31,62.43,62.57,61.9,62.54,3183384
2016-11-01,62.4,62.69,61.82,62.11,3157912
2016-11-02,62.18,62.41,61.83,62.11,1843283
2016-11-03,62.32,62.39,61.2,61.28,2118712
2016-11-04,61.03,62.14,61.03,61.4,2293754
2016-11-07,61.91,62.88,61.63,62.59,3191896
2016-11-08,62.59,63.69,62.28,62.85,2801695
2016-11-09,61.53,63.0,61.0,62.86,2880823
2016-11-10,63.13,64.64,62.93,63.24,3491177
2016-11-11,63.13,63.9,62.52,63.64,3390878
2016-11-14,63.73,64.47,63.57,63.6,3865045
2016-11-15,64.0,64.01,61.98,63.09,4099789
2016-11-16,63.09,64.09,62.92,63.86,3744476
2016-11-17,64.11,65.53,63.11,65.53,4006257
2016-11-18,67.72,68.84,66.6,68.0,6999124
2016-11-21,68.02,68.36,67.56,67.93,4024478
2016-11-22,68.65,69.81,68.55,68.94,7715524
2016-11-23,68.81,69.74,68.53,69.25,2833186
2016-11-25,69.55,69.55,68.86,69.04,1036448
2016-11-28,68.79,69.0,68.28,68.36,2693812
2016-11-29,68.6,68.85,68.21,68.57,2221271
2016-11-30,68.45,68.72,67.58,67.59,4411627
2016-12-01,67.46,67.95,67.09,67.38,2925465
2016-12-02,67.45,67.88,67.19,67.36,2248663
2016-12-05,67.69,67.92,66.87,67.15,2765717
2016-12-06,67.26,67.5,66.7,67.26,2626176
2016-12-07,67.38,68.3,67.05,68.26,2360186
2016-12-08,68.13,68.44,67.47,67.7,2451256
2016-12-09,67.78,67.78,66.91,67.62,2198682
2016-12-12,67.45,67.81,67.01,67.39,1786673
2016-12-13,67.69,68.69,67.44,68.27,2698604
2016-12-14,68.4,68.46,67.21,67.44,2827267
2016-12-15,67.68,67.94,67.07,67.27,3237709
2016-12-16,67.49,69.53,67.29,69.53,11132690
2016-12-19,69.0,69.24,68.34,68.41,4173781
2016-12-20,68.52,69.0,68.14,68.43,3205888
2016-12-21,68.45,68.73,67.97,68.0,2105935
2016-12-22,67.83,67.96,66.99,67.11,2058542
2016-12-23,67.15,67.58,67.07,67.11,1411535
2016-12-27,67.26,67.71,67.14,67.15,1266398
2016-12-28,67.28,67.59,66.48,66.52,1808563
2016-12-29,66.49,67.14,66.28,66.37,1670181
2016-12-30,66.69,66.96,65.49,65.6,2777536
2017-01-03,66.02,66.97,65.39,65.61,3023889
2017-01-04,65.66,66.76,65.62,66.55,2970630
2017-01-05,65.72,66.59,65.55,65.69,2799080
2017-01-06,65.79,65.98,65.26,65.31,2183152
2017-01-09,65.27,65.98,65.27,65.45,2182208
