Date,Open,High,Low,Close,Volume
2016-10-04,58.9,59.18,58.52,58.79,832298
2016-10-05,59.08,60.02,59.06,59.65,857973
2016-10-06,59.56,59.98,59.33,59.83,614768
2016-10-07,59.8,59.88,59.15,59.26,1003421
2016-10-10,59.7,61.36,58.2,60.56,987316
2016-10-11,60.32,60.55,59.33,59.57,578986
2016-10-12,59.53,59.94,59.37,59.76,485920
2016-10-13,59.52,59.82,58.68,59.48,653323
2016-10-14,59.85,60.58,59.74,59.75,899049
2016-10-17,59.76,60.2,59.63,59.75,515819
2016-10-18,60.43,60.43,59.55,59.62,599446
2016-10-19,60.03,60.04,59.66,59.76,642246
2016-10-20,59.57,59.82,58.93,59.19,639053
2016-10-21,59.08,59.39,58.75,59.13,434597
2016-10-24,59.37,59.95,59.26,59.45,491413
2016-10-25,59.3,59.39,58.32,58.61,647919
2016-10-26,58.56,59.01,58.25,58.56,569721
2016-10-27,58.79,59.0,58.15,58.33,584440
2016-10-28,58.25,58.83,58.23,58.37,550064
2016-10-31,58.58,59.44,58.51,59.31,819816
2016-11-01,59.25,59.25,58.08,58.3,803352
2016-11-02,58.09,58.54,57.64,57.93,721972
2016-11-03,57.9,58.39,57.59,57.74,706217
2016-11-04,57.72,58.47,57.55,57.65,576827
2016-11-07,58.66,59.41,58.49,59.03,708746
2016-11-08,58.75,59.83,58.59,59.22,738615
2016-11-09,58.18,59.15,57.62,59.02,1203415
2016-11-10,59.37,59.65,58.26,58.63,1137221
2016-11-11,58.67,59.9,58.57,59.63,746189
2016-11-14,61.9,62.0,59.76,59.82,1269323
2016-11-15,60.14,60.33,59.78,60.07,1198754
2016-11-16,59.75,60.82,59.75,60.77,912277
2016-11-17,60.68,61.69,60.27,61.49,687139
2016-11-18,61.71,61.86,61.08,61.11,542295
2016-11-21,61.28,61.6,61.0,61.31,678252
2016-11-22,61.58,61.58,61.07,61.3,633876
2016-11-23,61.05,61.26,60.84,61.08,478346
2016-11-25,61.1,61.69,61.1,61.56,370057
2016-11-28,61.33,61.58,61.11,61.3,480546
2016-11-29,61.17,61.47,61.0,61.17,795346
2016-11-30,61.11,61.2,60.48,60.48,1574779
