Date,Open,High,Low,Close,Volume
2016-10-04,79.87,79.96,77.1,77.34,1370591
2016-10-05,77.45,77.96,76.5,76.58,935963
2016-10-06,76.91,77.12,75.31,76.4,2045763
2016-10-07,76.52,76.52,74.95,75.1,1574872
2016-10-10,75.36,76.99,75.36,76.86,1204008
2016-10-11,77.18,77.26,76.0,76.16,1106796
2016-10-12,76.1,76.3,75.12,75.13,971655
2016-10-13,74.64,74.98,72.89,74.38,1839842
2016-10-14,74.83,75.88,74.46,75.47,977444
2016-10-17,75.01,75.43,73.98,74.19,1071370
2016-10-18,74.98,75.85,74.5,74.85,988250
2016-10-19,75.0,75.46,74.69,75.05,662253
2016-10-20,75.4,75.4,74.12,74.68,1012210
2016-10-21,74.37,75.09,73.78,74.78,1187737
2016-10-24,74.78,75.39,74.0,74.47,1327711
2016-10-25,74.16,76.02,74.03,75.9,1034141
2016-10-26,76.04,77.61,75.75,76.57,1599186
2016-10-27,76.73,77.3,73.54,73.96,2135918
2016-10-28,79.8,83.1,77.08,79.73,5090734
2016-10-31,80.3,81.24,79.16,80.09,1792981
2016-11-01,79.92,79.95,76.88,77.87,2791028
2016-11-02,78.04,78.25,75.92,76.03,1347297
2016-11-03,74.33,75.35,72.89,73.05,2319210
2016-11-04,72.85,74.1,72.59,72.64,1366221
2016-11-07,74.02,75.0,73.3,73.91,1422252
2016-11-08,74.26,74.63,73.38,74.23,1042559
2016-11-09,73.09,74.48,72.2,74.08,1441944
2016-11-10,74.2,76.06,73.5,74.72,1606555
2016-11-11,74.66,75.24,74.55,75.0,1160562
2016-11-14,74.91,75.7,74.57,74.88,1010989
2016-11-15,75.05,75.35,74.02,75.21,1368657
2016-11-16,75.31,75.65,74.47,74.89,731475
2016-11-17,74.73,75.41,74.27,75.27,720804
2016-11-18,75.21,76.42,74.9,76.09,1027188
2016-11-21,76.18,76.97,75.67,75.81,883080
2016-11-22,75.72,76.12,74.66,75.63,953952
2016-11-23,75.7,76.6,75.3,75.59,712365
2016-11-25,75.78,76.87,75.43,76.77,450970
2016-11-28,76.45,76.98,75.87,76.07,995259
2016-11-29,76.07,76.54,75.42,75.83,793824
2016-11-30,75.63,75.63,72.97,72.97,1284246
2016-12-01,72.97,73.6,72.96,73.44,1130628
2016-12-02,73.51,74.07,72.13,72.49,1249527
2016-12-05,72.62,72.85,71.59,71.61,1113887
2016-12-06,71.94,72.2,71.65,71.82,944175
2016-12-07,71.63,72.39,71.52,72.0,1719666
2016-12-08,71.99,73.88,71.93,73.49,1650626
2016-12-09,73.58,74.55,73.4,74.37,1453468
2016-12-12,74.56,75.04,74.07,74.92,1148794
2016-12-13,75.34,76.77,75.05,76.28,1203923
2016-12-14,76.31,76.71,75.13,75.43,910241
2016-12-15,75.4,77.93,75.33,77.5,1287754
2016-12-16,77.51,77.58,76.05,77.16,4039658
2016-12-19,77.42,77.79,76.93,77.12,1373578
2016-12-20,77.21,77.74,76.4,76.88,625147
2016-12-21,76.64,76.99,76.2,76.51,474301
2016-12-22,76.54,77.45,75.87,77.28,1079561
2016-12-23,77.26,77.5,76.83,77.46,643591
2016-12-27,77.49,77.73,77.06,77.17,741341
2016-12-28,77.09,77.6,76.05,76.11,629640
2016-12-29,76.2,77.04,76.17,76.86,501284
2016-12-30,77.13,77.84,76.78,77.04,703338
2017-01-03,77.4,77.4,75.72,75.84,917110
2017-01-04,75.69,78.16,75.65,77.84,1136088
2017-01-05,77.88,78.08,77.24,77.65,777339
2017-01-06,77.91,80.33,77.83,79.38,1556280
2017-01-09,80.39,81.1,78.53,78.84,1252628
2017-01-10,78.85,79.27,77.71,78.04,979240
2017-01-11,78.19,80.34,78.05,80.16,1318437
2017-01-12,79.56,79.82,78.22,79.53,539069
2017-01-13,79.45,80.23,79.01,79.66,440550
2017-01-17,79.69,80.8,79.04,80.63,895243
2017-01-18,80.49,81.16,80.08,80.51,637057
2017-01-19,80.74,80.98,79.75,79.96,999738
2017-01-20,79.63,80.43,79.53,80.35,696064
2017-01-23,79.56,80.0,79.28,79.92,844665
2017-01-24,79.99,80.94,79.64,80.9,638297
2017-01-25,81.12,81.82,81.08,81.51,669217
2017-01-26,81.63,81.85,80.19,80.99,590581
2017-01-27,80.65,80.65,77.42,77.58,1844283
2017-01-30,77.15,78.43,76.06,76.3,1088154
2017-01-31,76.1,77.16,76.0,77.14,872867
2017-02-01,77.11,77.59,76.06,76.48,772475
2017-02-02,76.45,76.9,75.91,76.8,519146
2017-02-03,76.91,77.03,72.0,73.71,3443433
2017-02-06,73.83,75.98,73.35,75.31,1539570
2017-02-07,75.29,76.56,74.48,74.84,898208
2017-02-08,74.8,75.72,74.37,75.45,565001
2017-02-09,75.71,76.56,75.4,76.18,563642
2017-02-10,76.23,77.05,75.56,76.77,483274
2017-02-13,76.85,78.32,76.23,78.19,986757
2017-02-14,78.12,78.36,77.46,77.56,696656
2017-02-15,77.25,78.31,76.8,77.39,861458
2017-02-16,81.46,86.77,80.87,83.35,4370541
2017-02-17,83.18,85.29,82.79,85.15,2140505
2017-02-21,84.79,85.89,84.5,85.76,1241613
2017-02-22,85.85,86.75,84.97,85.41,808928
2017-02-23,85.25,85.8,84.36,84.69,1111691
2017-02-24,84.4,84.4,82.1,82.93,1021898
2017-02-27,83.25,83.79,82.96,83.42,753109
2017-02-28,83.64,83.98,82.76,82.88,711619
2017-03-01,83.3,83.44,82.57,82.64,512885
2017-03-02,82.53,83.11,81.65,82.13,1026427
2017-03-03,81.9,82.29,80.1,80.73,886794
2017-03-06,80.75,80.79,79.26,79.85,785306
2017-03-07,81.19,82.24,80.49,80.86,1125052
2017-03-08,80.64,81.85,80.51,81.64,839572
2017-03-09,81.74,81.92,80.88,81.76,637046
2017-03-10,81.94,82.36,81.49,81.82,546254
2017-03-13,81.92,82.35,81.49,82.23,806256
2017-03-14,82.06,82.56,81.98,82.31,546863
2017-03-15,82.25,83.51,82.0,83.03,598066
2017-03-16,82.98,83.46,82.79,83.28,512462
2017-03-17,83.38,84.68,83.05,84.15,1067864
2017-03-20,84.53,84.86,83.39,83.51,866378
2017-03-21,83.7,83.7,81.96,82.38,1230011
2017-03-22,81.0,82.69,81.0,82.09,864983
2017-03-23,82.25,83.36,81.64,82.04,1226835
