Date,Open,High,Low,Close,Volume
2016-10-04,38.61,38.99,38.05,38.24,3593579
2016-10-05,38.39,38.91,38.03,38.54,2679674
2016-10-06,38.21,38.31,37.47,37.81,4165294
2016-10-07,37.93,38.25,37.58,37.89,3340221
2016-10-10,38.14,38.56,37.66,37.97,4466576
2016-10-11,38.22,38.22,34.83,35.1,14457875
2016-10-12,35.51,36.0,35.15,35.23,5153129
2016-10-13,34.76,35.53,33.58,35.18,7302333
2016-10-14,35.36,36.01,34.97,35.16,5413491
2016-10-17,35.23,35.57,34.65,35.01,4548281
2016-10-18,35.34,35.62,34.82,35.34,5505109
2016-10-19,34.95,35.3,33.54,34.32,10115441
2016-10-20,34.49,35.28,34.4,34.98,5159227
2016-10-21,34.8,35.0,34.13,34.5,4484120
2016-10-24,34.7,34.82,34.48,34.52,2949576
2016-10-25,35.04,35.04,34.15,34.27,4172327
2016-10-26,34.16,35.1,34.1,34.84,5638805
2016-10-27,35.35,35.78,34.21,34.24,6846022
2016-10-28,34.22,34.8,34.03,34.15,3142923
2016-10-31,34.39,34.65,34.27,34.31,3121404
2016-11-01,34.37,34.63,33.06,33.71,4147084
2016-11-02,33.67,33.85,32.62,32.65,5446241
2016-11-03,32.64,33.28,32.45,33.08,3855880
2016-11-04,32.96,33.67,32.8,33.0,3641374
2016-11-07,33.56,34.8,33.47,34.65,4564570
2016-11-08,34.43,34.77,33.86,34.49,2676833
2016-11-09,33.4,35.32,32.58,34.76,6166980
2016-11-10,35.0,36.63,34.92,36.17,6204126
2016-11-11,35.87,37.32,35.61,37.25,4736554
2016-11-14,37.15,38.44,37.15,38.0,5205752
2016-11-15,38.14,38.6,37.81,38.51,3527102
2016-11-16,38.17,38.74,38.07,38.26,2607373
2016-11-17,38.4,39.3,38.35,39.23,4719184
2016-11-18,39.2,39.48,38.5,39.29,2394385
2016-11-21,39.32,39.93,39.11,39.82,2177737
2016-11-22,39.95,40.1,38.91,38.96,4799845
2016-11-23,38.68,39.09,38.38,38.82,2805721
2016-11-25,38.9,39.24,38.45,39.07,1802333
2016-11-28,38.91,39.52,38.52,39.37,3177685
2016-11-29,39.41,40.27,39.33,39.5,3996239
2016-11-30,39.63,40.26,39.56,40.1,3961930
2016-12-01,40.73,40.97,38.03,38.11,5532711
2016-12-02,38.3,39.02,38.05,38.87,4144608
2016-12-05,37.4,39.63,37.4,39.16,3813200
2016-12-06,39.03,39.49,39.0,39.15,3408928
2016-12-07,39.76,40.36,38.9,40.27,7636382
2016-12-08,40.29,40.37,39.14,39.23,3584324
2016-12-09,39.4,40.14,36.5,39.38,4125494
2016-12-12,39.37,39.39,38.44,39.17,3836444
2016-12-13,39.22,41.45,39.08,40.84,5722053
2016-12-14,40.87,40.99,40.0,40.2,4504900
2016-12-15,40.33,40.97,39.66,40.6,2927816
2016-12-16,40.86,40.87,39.01,39.1,8418473
2016-12-19,38.5,39.09,38.33,38.71,4271289
2016-12-20,38.88,39.3,38.5,38.76,3301296
2016-12-21,38.61,39.55,38.61,38.91,3136363
2016-12-22,39.27,39.64,38.75,39.02,3098787
2016-12-23,38.87,39.22,38.58,39.11,2473037
2016-12-27,39.03,39.52,39.0,39.38,1940042
2016-12-28,39.39,39.56,38.68,38.79,2592751
2016-12-29,38.79,39.14,37.83,38.02,2710850
2016-12-30,38.18,38.66,37.99,38.17,2897495
2017-01-03,38.46,40.1,38.4,39.62,5129251
2017-01-04,39.73,40.27,38.93,39.12,3842717
2017-01-05,39.07,39.23,38.57,39.05,2890121
2017-01-06,39.06,39.2,38.18,38.49,4529885
2017-01-09,38.49,38.74,38.02,38.05,3263995
2017-01-10,38.1,38.64,37.57,37.63,4266857
2017-01-11,37.6,38.06,36.22,36.87,6268895
2017-01-12,36.79,36.84,35.64,36.75,3849645
2017-01-13,36.75,37.39,36.75,36.9,2515820
2017-01-17,37.14,37.82,36.75,37.02,3291286
2017-01-18,37.11,37.48,36.75,37.24,2866839
2017-01-19,37.1,37.31,36.13,36.34,2958673
2017-01-20,36.36,37.04,36.32,36.47,3041380
2017-01-23,36.67,36.68,35.54,36.37,4955502
2017-01-24,37.86,38.0,36.6,37.44,8551301
2017-01-25,42.45,46.68,42.16,42.67,46164733
2017-01-26,42.62,44.79,42.62,43.9,14711949
2017-01-27,44.07,44.99,43.62,44.5,7679943
2017-01-30,44.4,45.21,44.11,44.9,6863584
2017-01-31,44.85,45.19,44.23,45.15,5597625
2017-02-01,45.61,45.65,44.05,44.78,5382069
2017-02-02,44.29,45.73,44.29,45.27,5447299
2017-02-03,45.31,46.36,45.3,46.29,5767989
2017-02-06,46.04,46.39,45.08,45.44,4651821
2017-02-07,45.48,46.46,45.14,46.1,4946803
2017-02-08,45.55,46.09,45.14,45.8,4852602
2017-02-09,46.45,46.63,45.75,46.37,3452439
2017-02-10,46.51,46.6,45.83,46.46,3658189
2017-02-13,46.89,48.08,46.58,47.8,5521563
2017-02-14,47.65,48.14,47.37,47.85,4105112
2017-02-15,47.93,48.53,47.5,48.15,5004179
2017-02-16,48.3,48.35,47.35,47.57,4450836
2017-02-17,47.41,47.48,46.88,47.14,3270914
2017-02-21,47.43,47.73,47.04,47.43,3217132
2017-02-22,47.4,47.51,47.19,47.35,2658385
2017-02-23,47.5,47.74,47.04,47.39,4064626
2017-02-24,46.98,47.75,46.72,47.75,3172622
2017-02-27,47.22,47.81,46.89,47.69,5420598
2017-02-28,47.4,48.68,47.37,48.19,5592772
2017-03-01,48.65,49.7,48.35,49.48,4625317
2017-03-02,49.44,49.79,48.42,48.92,4130213
2017-03-03,49.02,49.65,48.75,48.96,3098879
2017-03-06,48.59,48.82,48.0,48.51,3474135
2017-03-07,48.55,48.7,47.96,48.28,2285351
2017-03-08,48.22,48.74,47.96,48.11,2081073
2017-03-09,47.55,47.8,45.58,46.68,6329496
2017-03-10,47.22,47.29,46.6,47.28,3527035
2017-03-13,47.35,47.71,46.92,47.57,2949496
2017-03-14,47.24,47.36,46.01,46.7,3493241
2017-03-15,46.78,47.19,46.01,47.06,4057235
2017-03-16,47.3,47.62,46.8,47.23,3191636
2017-03-17,47.46,47.54,46.76,46.87,6829485
2017-03-20,46.24,46.78,45.79,46.08,3441462
2017-03-21,46.07,46.23,44.26,44.51,4693437
2017-03-22,44.42,45.11,43.7,45.01,4311053
2017-03-23,44.85,45.47,44.54,45.13,3662901
2017-03-24,46.44,46.68,44.87,45.24,5278240
2017-03-27,44.67,45.1,44.28,44.91,3164923
2017-03-28,44.9,45.44,44.63,45.28,3418152
2017-03-29,45.15,45.69,44.53,45.67,2608148
2017-03-30,45.56,47.39,45.4,47.12,5955211
2017-03-31,46.92,47.04,45.91,45.93,3387302
2017-04-03,45.63,46.0,44.69,45.3,6306739
2017-04-04,45.22,46.09,45.08,45.97,2353885
2017-04-05,46.34,47.2,45.88,46.0,3669945
2017-04-06,46.25,46.59,45.67,46.25,2958206
2017-04-07,46.26,46.97,45.68,46.85,3589341
2017-04-10,47.16,48.27,47.13,47.6,5389126
2017-04-11,48.5,49.47,47.56,49.09,7672388
2017-04-12,49.01,49.09,47.71,48.34,4226662
2017-04-13,48.1,48.82,47.84,48.17,3791164
2017-04-17,48.36,48.78,47.97,48.49,2974408
2017-04-18,48.19,48.6,47.83,48.54,3322851
2017-04-19,48.54,49.19,48.44,48.56,2957039
2017-04-20,47.88,48.68,47.22,48.55,5842421
2017-04-21,48.52,48.71,47.89,48.26,3359447
2017-04-24,49.08,49.68,48.73,49.42,4584579
2017-04-25,49.81,50.96,49.53,50.51,7791453
2017-04-26,44.61,44.86,41.76,42.01,34476550
2017-04-27,42.17,43.0,41.78,42.3,9673220
2017-04-28,42.71,42.73,41.2,42.13,8613105
2017-05-01,42.08,42.3,41.73,42.18,7376814
2017-05-02,42.23,42.46,41.97,42.44,6508914
2017-05-03,42.32,42.72,42.08,42.51,5381411
2017-05-04,42.58,42.7,42.35,42.58,4947387
2017-05-05,42.34,43.56,42.15,43.55,4885380
2017-05-08,43.61,43.62,42.75,42.87,3002068
2017-05-09,42.87,43.1,42.49,42.83,2798045
2017-05-10,42.9,43.2,42.78,43.11,3493564
2017-05-11,43.01,43.17,42.43,42.48,5224768
2017-05-12,42.48,43.07,42.27,43.04,3544703
2017-05-15,43.16,43.57,42.99,43.48,4448747
2017-05-16,43.67,44.06,43.4,44.0,4080477
2017-05-17,43.46,43.63,42.12,42.16,5852820
2017-05-18,42.66,42.66,41.67,42.25,4102516
2017-05-19,42.38,42.78,42.36,42.51,3272094
2017-05-22,42.84,43.16,42.22,42.77,2506213
2017-05-23,43.1,43.17,42.44,42.63,2702305
2017-05-24,43.05,43.2,42.59,42.73,2388530
2017-05-25,42.88,43.42,42.48,43.11,2951187
2017-05-26,42.67,43.0,42.2,42.53,3272703
2017-05-30,42.21,43.54,42.21,43.24,3566940
2017-05-31,43.39,43.57,42.86,43.57,4522265
2017-06-01,43.56,43.56,42.63,42.88,3492931
2017-06-02,42.96,43.35,42.91,43.22,2682978
2017-06-05,42.86,42.99,42.06,42.08,3322208
2017-06-06,42.0,42.34,41.59,41.89,3406625
2017-06-07,42.09,42.56,41.76,41.94,2397429
2017-06-08,42.05,42.82,41.58,42.77,3210626
2017-06-09,42.86,43.53,41.6,42.37,4758970
2017-06-12,41.75,41.94,40.32,41.54,6519284
2017-06-13,41.99,42.4,41.78,42.03,3981083
2017-06-14,42.23,42.23,40.81,41.28,3917176
2017-06-15,40.45,41.65,40.4,41.52,3694887
2017-06-16,41.4,42.1,41.33,42.03,7267682
2017-06-19,41.65,42.15,41.55,41.83,3068282
2017-06-20,41.68,41.74,41.03,41.04,3294455
2017-06-21,41.19,41.87,41.08,41.66,2799269
