Date,Open,High,Low,Close,Volume
2016-10-04,75.4,77.17,75.4,76.59,2961977
2016-10-05,77.15,78.19,76.81,77.75,2111332
2016-10-06,78.18,79.42,77.71,79.34,2603949
2016-10-07,79.36,79.57,77.63,79.37,2985327
2016-10-10,79.78,81.19,79.61,80.15,2328142
2016-10-11,80.71,82.28,78.66,79.43,5012654
2016-10-12,79.46,79.51,78.15,78.82,2056111
2016-10-13,77.98,78.02,76.2,77.41,2204784
2016-10-14,77.86,79.49,77.44,77.63,2067851
2016-10-17,77.63,78.14,76.48,76.7,1726865
2016-10-18,78.1,78.37,77.53,77.65,1112164
2016-10-19,77.19,78.03,76.77,77.91,1072172
2016-10-20,77.72,78.5,77.05,78.09,1264733
2016-10-21,77.75,78.09,76.87,77.47,1900479
2016-10-24,78.01,79.19,78.01,78.49,1727971
2016-10-25,78.18,79.14,77.91,78.08,1669647
2016-10-26,77.44,78.69,77.19,77.54,2190421
2016-10-27,78.18,78.58,77.05,77.26,1460728
2016-10-28,77.91,77.99,75.62,75.72,2715625
2016-10-31,75.95,77.26,75.02,76.94,1886394
2016-11-01,76.92,77.76,74.76,75.81,1783271
2016-11-02,75.65,76.37,74.82,75.03,1681778
2016-11-03,74.65,76.82,74.39,74.67,3566745
2016-11-04,72.6,76.86,72.5,75.07,5718645
2016-11-07,76.67,77.3,75.3,77.24,2703052
2016-11-08,76.86,78.02,76.01,77.33,2209180
2016-11-09,74.79,78.24,74.5,77.66,3458092
2016-11-10,77.89,79.49,74.77,75.91,3267582
2016-11-11,76.0,77.89,74.2,74.51,4015186
2016-11-14,74.79,74.82,73.59,74.04,2614918
2016-11-15,74.18,76.25,73.72,75.93,2101460
2016-11-16,75.36,76.48,75.0,76.12,1631371
2016-11-17,76.15,77.98,75.69,77.95,1615266
2016-11-18,77.82,78.94,76.92,78.21,2190012
2016-11-21,78.46,79.13,78.2,78.93,1526877
2016-11-22,79.39,80.14,78.99,79.36,1218603
2016-11-23,79.21,79.51,78.02,78.31,1585165
2016-11-25,78.27,78.31,76.49,77.01,1174799
2016-11-28,77.06,77.84,75.82,77.3,1807043
2016-11-29,77.09,77.72,76.28,77.22,1721670
2016-11-30,77.49,77.79,76.44,76.85,1595434
2016-12-01,76.92,77.07,71.65,71.78,4086921
2016-12-02,71.69,73.44,71.65,73.34,1927115
2016-12-05,73.72,74.98,73.49,74.82,2899638
2016-12-06,75.33,76.55,74.82,76.17,3299041
2016-12-07,75.78,77.66,74.25,77.34,2471531
2016-12-08,77.3,79.74,76.98,79.52,2716780
2016-12-09,80.6,81.04,75.65,76.93,4750178
2016-12-12,76.36,77.08,75.37,76.26,2303202
2016-12-13,76.8,77.63,75.95,76.88,1714312
2016-12-14,76.49,77.0,74.62,75.14,2620883
2016-12-15,75.21,77.83,74.63,77.21,2331317
2016-12-16,77.51,78.59,76.67,76.81,2335513
2016-12-19,76.95,78.33,76.91,77.44,1116640
2016-12-20,77.52,77.79,76.32,76.61,1339694
2016-12-21,76.66,77.15,76.01,77.07,1494894
2016-12-22,77.93,78.33,77.0,78.15,1705611
2016-12-23,78.22,78.45,77.62,78.03,826697
2016-12-27,77.9,78.83,77.66,78.33,718325
2016-12-28,78.47,78.6,76.91,77.03,1070610
2016-12-29,76.74,77.12,75.63,76.56,1165128
2016-12-30,76.83,76.83,74.32,74.66,1844970
2017-01-03,75.22,76.24,74.4,75.15,2609426
2017-01-04,75.46,75.66,74.5,74.99,1683879
2017-01-05,74.66,75.38,73.94,74.57,1832555
2017-01-06,74.82,75.48,74.32,74.96,1609218
2017-01-09,75.96,76.96,75.23,75.65,2331287
2017-01-10,75.69,77.52,75.66,77.31,1768561
2017-01-11,77.33,78.72,76.51,78.41,2119898
2017-01-12,76.2,76.91,74.67,76.75,4265199
2017-01-13,76.91,78.49,76.69,78.33,1963387
2017-01-17,77.64,78.43,76.48,76.89,2392146
2017-01-18,77.39,79.27,77.16,79.27,3106093
2017-01-19,78.87,79.45,78.18,78.46,4062382
2017-01-20,85.0,88.9,84.69,88.67,15776664
2017-01-23,88.87,91.07,87.72,90.17,6523246
2017-01-24,90.31,92.74,90.31,92.27,4553330
2017-01-25,93.0,93.78,91.32,91.87,3223492
2017-01-26,92.0,92.64,90.94,91.01,2344718
2017-01-27,91.55,92.44,91.25,92.01,1706221
2017-01-30,91.43,93.08,90.22,92.99,2482193
2017-01-31,92.32,92.48,90.28,91.74,2486505
2017-02-01,93.54,94.49,91.31,91.74,3804797
2017-02-02,90.8,91.54,90.06,91.11,2524583
2017-02-03,91.32,91.91,90.88,91.56,1272523
2017-02-06,91.45,91.58,90.71,91.39,1458764
2017-02-07,91.4,92.2,91.17,91.78,1305566
2017-02-08,91.61,92.34,90.94,91.69,1861650
2017-02-09,92.07,93.13,91.24,92.47,2753403
2017-02-10,92.73,92.75,91.41,92.21,1947332
2017-02-13,92.69,93.3,92.27,92.63,1290117
2017-02-14,92.32,92.48,90.53,91.8,1610538
2017-02-15,92.02,92.61,91.25,92.13,1562561
2017-02-16,92.34,92.56,91.6,92.43,1287095
2017-02-17,92.24,96.67,91.92,96.35,5406554
2017-02-21,96.63,97.51,95.7,96.57,2578203
2017-02-22,96.49,97.17,96.04,96.71,1397948
2017-02-23,96.86,96.94,94.3,95.31,1640306
2017-02-24,94.24,95.0,93.02,94.7,1448447
2017-02-27,94.54,95.68,93.85,95.63,1243010
2017-02-28,95.61,95.85,94.0,94.81,1722652
2017-03-01,95.97,97.15,94.37,96.74,2322497
2017-03-02,96.98,97.57,94.71,94.76,2348763
2017-03-03,95.03,95.32,94.16,94.92,1505851
2017-03-06,94.21,95.71,93.42,95.45,3186353
2017-03-07,95.22,95.49,94.21,95.05,1545443
2017-03-08,96.36,96.91,95.39,96.69,4069504
2017-03-09,96.21,97.67,95.06,97.14,2826163
2017-03-10,97.74,98.7,97.5,98.18,2259550
2017-03-13,98.48,99.34,98.06,99.04,2399531
2017-03-14,98.74,98.94,97.95,98.79,1214414
2017-03-15,98.71,99.38,98.12,99.11,1528958
2017-03-16,99.22,99.22,98.0,98.11,1796943
2017-03-17,98.51,98.61,97.51,97.93,2423569
2017-03-20,97.95,98.81,97.15,98.19,1290754
2017-03-21,98.37,98.64,95.34,95.52,1804767
2017-03-22,95.47,96.78,94.59,96.74,1736058
2017-03-23,96.54,97.29,96.03,96.5,1111649
2017-03-24,97.36,98.35,96.88,97.3,1270823
2017-03-27,96.41,97.71,95.33,97.19,1203234
2017-03-28,97.31,98.7,96.55,97.93,1152861
2017-03-29,97.85,97.85,97.0,97.23,1088837
2017-03-30,97.29,98.5,97.06,98.14,1200076
2017-03-31,98.31,98.49,97.71,97.98,1065287
