Date,Open,High,Low,Close,Volume
2016-10-04,25.08,25.28,24.96,25.25,7202006
2016-10-05,25.72,25.72,25.24,25.39,7580736
2016-10-06,25.3,25.39,25.2,25.3,5872384
2016-10-07,25.35,25.37,25.14,25.21,4135483
2016-10-10,25.24,25.37,25.17,25.25,6630776
2016-10-11,25.26,25.26,24.83,25.06,8884536
2016-10-12,24.74,25.12,24.67,24.94,7724941
2016-10-13,24.88,24.88,24.03,24.28,11881760
2016-10-14,24.41,24.57,24.02,24.09,7901317
2016-10-17,24.11,24.39,24.1,24.19,5654641
2016-10-18,24.43,24.55,24.06,24.22,8454910
2016-10-19,24.23,24.26,24.01,24.23,5389952
2016-10-20,24.15,24.36,24.07,24.2,4183271
2016-10-21,24.22,24.24,24.02,24.08,5837257
2016-10-24,24.18,24.94,24.18,24.9,8597452
2016-10-25,24.79,25.03,24.79,24.99,8325569
2016-10-26,24.85,25.17,24.82,25.03,8319604
2016-10-27,25.14,25.19,24.9,24.93,7365345
2016-10-28,24.63,25.02,24.63,24.88,6069225
2016-10-31,25.03,25.18,24.97,25.03,6056789
2016-11-01,25.13,25.33,24.94,25.22,8693134
2016-11-02,25.23,25.38,25.12,25.23,12137864
2016-11-03,25.25,25.47,25.12,25.45,12643519
2016-11-04,23.26,25.07,22.76,23.49,24774918
2016-11-07,24.13,24.48,23.89,24.4,11673980
2016-11-08,24.4,24.71,24.19,24.71,8529410
2016-11-09,23.27,25.14,23.25,24.84,9624597
2016-11-10,24.92,25.36,24.9,25.05,11951803
2016-11-11,24.89,25.11,24.84,25.0,12335047
2016-11-14,25.05,25.07,24.61,24.63,10882819
2016-11-15,24.72,24.72,24.22,24.22,9144726
2016-11-16,24.22,24.26,23.68,23.9,12912457
2016-11-17,23.89,23.94,23.6,23.83,9184123
2016-11-18,23.93,23.98,23.56,23.75,6648611
2016-11-21,23.85,24.99,23.2,24.52,25801011
2016-11-22,24.5,25.16,24.44,25.11,13273251
2016-11-23,25.06,25.55,24.72,24.85,10960343
2016-11-25,24.8,24.98,24.54,24.82,3645594
2016-11-28,24.78,24.83,24.23,24.4,8095539
2016-11-29,24.43,24.64,24.24,24.32,7357933
2016-11-30,24.36,24.71,24.25,24.39,9629182
2016-12-01,24.36,24.39,23.5,23.76,10151062
2016-12-02,23.7,23.89,23.34,23.51,9204996
2016-12-05,23.71,24.36,23.59,24.35,9095097
2016-12-06,24.27,24.36,23.96,24.2,11043220
2016-12-07,24.13,24.61,23.87,24.44,9827304
2016-12-08,24.47,24.72,24.29,24.56,6483101
2016-12-09,24.59,24.87,24.48,24.82,9532839
2016-12-12,24.82,24.93,24.68,24.7,6064645
2016-12-13,24.82,25.11,24.76,24.91,4856874
2016-12-14,24.95,25.05,24.74,24.84,7303326
2016-12-15,24.64,24.94,24.45,24.8,7206708
2016-12-16,24.87,24.89,23.95,24.08,10620903
2016-12-19,24.07,24.25,23.95,24.22,4632586
2016-12-20,24.21,24.46,24.1,24.15,4320853
2016-12-21,24.18,24.36,24.05,24.25,2456937
2016-12-22,24.24,24.26,24.01,24.11,3664258
2016-12-23,24.1,24.24,24.0,24.14,3387440
2016-12-27,24.2,24.51,24.09,24.36,4184123
2016-12-28,24.47,24.47,24.09,24.15,2739746
2016-12-29,24.09,24.33,24.06,24.23,3071275
2016-12-30,24.23,24.37,23.82,23.89,3747121
2017-01-03,23.94,24.06,23.77,24.01,6176076
2017-01-04,24.08,24.4,23.94,24.22,5506707
2017-01-05,24.2,24.72,24.14,24.65,7982791
2017-01-06,24.65,25.06,24.55,25.01,6615400
2017-01-09,25.07,25.1,24.96,24.99,4309056
2017-01-10,25.04,25.25,24.93,25.13,3859933
2017-01-11,25.1,25.5,25.05,25.47,3968070
2017-01-12,25.38,25.73,25.2,25.7,4597993
2017-01-13,25.71,26.18,25.64,26.14,5102714
2017-01-17,26.07,26.23,25.78,26.2,6600653
2017-01-18,26.25,26.69,26.21,26.41,9641811
2017-01-19,26.45,26.68,26.38,26.56,7631845
2017-01-20,26.7,26.83,26.57,26.65,5620118
2017-01-23,26.65,26.83,26.56,26.76,5430363
