Date,Open,High,Low,Close,Volume
2016-10-04,108.96,109.67,107.62,107.82,1680129
2016-10-05,107.97,108.38,107.5,107.78,1541034
2016-10-06,107.3,108.13,107.1,107.73,1074272
2016-10-07,108.0,108.31,106.45,107.65,1207615
2016-10-10,108.62,110.66,108.62,109.83,1801271
2016-10-11,110.06,110.2,108.63,109.84,2079104
2016-10-12,109.84,110.49,109.51,110.25,1265923
2016-10-13,110.47,111.09,109.8,110.65,1515583
2016-10-14,111.27,112.19,111.02,111.25,1687375
2016-10-17,111.5,111.98,110.31,110.39,1134508
2016-10-18,111.1,111.1,110.03,110.11,1150522
2016-10-19,110.0,110.49,109.04,109.09,1679125
2016-10-20,109.68,110.07,108.17,108.53,1924604
2016-10-21,108.4,108.7,107.61,108.63,1763042
2016-10-24,108.78,109.0,107.92,108.3,1221517
2016-10-25,108.26,108.69,107.78,108.1,2047256
2016-10-26,108.0,108.0,106.09,106.11,1439980
2016-10-27,106.62,106.82,104.77,104.86,1901398
2016-10-28,104.02,105.43,103.32,104.49,1943065
2016-10-31,104.49,105.22,103.51,103.81,2236464
2016-11-01,102.7,109.37,101.81,105.31,6877587
2016-11-02,104.88,105.19,103.55,103.65,2462004
2016-11-03,103.98,104.22,101.9,103.02,1918741
2016-11-04,103.36,104.0,102.62,102.81,1448496
2016-11-07,103.93,105.12,103.86,105.0,1789851
2016-11-08,104.51,106.34,104.49,105.88,1819042
2016-11-09,103.11,104.62,102.7,103.09,2326846
2016-11-10,102.13,102.64,98.21,99.66,4565616
2016-11-11,99.44,99.83,98.22,99.05,1674892
2016-11-14,98.8,98.81,96.09,96.82,2878633
2016-11-15,97.12,98.15,97.07,97.72,1783124
2016-11-16,97.46,97.92,96.4,97.51,1219079
2016-11-17,97.35,98.0,97.25,97.94,1097527
2016-11-18,97.29,97.82,96.55,96.83,1480545
2016-11-21,97.07,98.96,97.07,98.55,1408930
2016-11-22,98.84,100.34,98.46,99.98,1881962
2016-11-23,100.03,100.34,98.49,98.89,1222197
2016-11-25,98.83,100.77,98.41,99.74,716927
2016-11-28,99.34,100.21,98.79,99.83,1527031
2016-11-29,99.65,100.51,99.52,100.05,1233125
2016-11-30,99.64,100.25,98.03,98.03,1819359
2016-12-01,97.73,98.25,94.1,94.66,3214603
2016-12-02,94.96,95.85,94.74,95.63,1796031
2016-12-05,95.63,96.72,95.23,95.53,1732765
2016-12-06,95.52,95.7,94.85,95.48,1485198
2016-12-07,95.64,97.39,95.28,97.13,2130670
2016-12-08,96.9,98.41,96.31,98.11,1602030
2016-12-09,98.43,99.09,98.21,99.04,1135737
2016-12-12,98.73,99.81,98.7,99.4,1757616
2016-12-13,100.14,100.43,99.53,99.83,1676526
2016-12-14,99.95,100.25,98.21,98.8,1648453
2016-12-15,97.77,98.64,97.38,97.48,1857201
2016-12-16,97.75,98.49,97.01,97.85,2058892
2016-12-19,98.19,98.52,97.0,97.59,1144401
2016-12-20,97.34,97.59,95.47,96.01,1529691
2016-12-21,96.36,97.52,96.22,97.31,1122219
2016-12-22,96.93,97.36,96.09,96.84,684266
2016-12-23,97.15,97.89,96.58,97.74,611617
2016-12-27,97.68,98.04,97.33,97.49,600919
2016-12-28,97.35,97.58,96.67,96.96,569204
2016-12-29,97.29,98.1,97.21,98.02,624625
2016-12-30,98.31,98.38,96.99,97.31,999454
2017-01-03,97.89,98.59,97.22,97.88,1105063
2017-01-04,98.43,99.52,98.22,99.41,1213369
2017-01-05,99.48,100.28,99.01,99.68,2072718
2017-01-06,99.67,100.21,99.32,99.79,880151
2017-01-09,99.68,99.68,97.93,98.28,1347704
2017-01-10,98.33,98.71,95.88,96.41,2558125
2017-01-11,96.49,96.95,95.61,95.67,1591202
2017-01-12,95.39,95.72,94.85,95.43,2101483
2017-01-13,96.12,97.79,95.87,97.62,1608380
2017-01-17,97.53,98.84,97.53,97.91,1339402
2017-01-18,98.0,99.22,97.93,98.2,1138538
2017-01-19,97.99,98.47,97.42,97.54,993586
2017-01-20,97.96,98.14,97.14,97.62,908163
2017-01-23,97.06,97.63,95.84,96.19,1698117
2017-01-24,96.19,97.27,94.5,96.88,2209321
2017-01-25,97.3,97.85,96.69,96.99,2238881
2017-01-26,97.09,97.44,95.93,96.04,1304976
2017-01-27,95.99,96.46,95.18,95.35,1017448
2017-01-30,95.51,95.54,94.42,95.47,1179788
2017-01-31,95.24,96.68,94.91,96.52,1299295
2017-02-01,96.35,96.98,95.66,96.42,1300455
2017-02-02,96.88,97.21,95.89,95.95,1094598
2017-02-03,96.62,97.67,96.13,97.0,1519722
2017-02-06,97.13,97.13,96.21,96.48,1904311
2017-02-07,96.4,96.62,94.51,94.89,3250780
2017-02-08,94.91,96.72,94.65,95.62,2693851
2017-02-09,95.71,96.92,95.34,96.67,1655168
2017-02-10,96.67,96.94,95.87,95.95,1562382
2017-02-13,96.39,96.56,95.67,96.21,1653209
2017-02-14,97.17,100.1,94.12,99.5,4140293
2017-02-15,99.0,99.35,98.32,99.03,2634823
2017-02-16,98.81,100.33,98.52,99.8,1864863
2017-02-17,99.92,102.14,99.63,101.59,2856531
2017-02-21,101.14,101.91,100.29,100.53,2355679
2017-02-22,100.15,100.81,99.76,100.22,1062457
2017-02-23,100.0,101.18,99.86,100.05,1036330
2017-02-24,99.8,101.17,98.92,101.02,1729522
2017-02-27,100.7,100.85,99.32,99.52,1634084
2017-02-28,99.79,100.7,99.05,100.39,1657121
2017-03-01,100.47,100.89,99.61,99.66,1325826
2017-03-02,98.97,99.54,98.41,98.49,1430743
2017-03-03,98.35,99.86,98.26,99.85,1912114
2017-03-06,99.5,99.65,98.15,98.23,987212
2017-03-07,98.23,98.37,96.78,96.99,1546043
2017-03-08,96.76,97.18,96.25,96.77,1952768
2017-03-09,96.63,97.13,96.22,96.79,1298885
2017-03-10,97.37,97.5,96.47,97.1,854361
2017-03-13,96.82,97.55,96.65,97.49,1494259
2017-03-14,97.55,98.12,97.0,97.11,735826
2017-03-15,97.14,98.33,97.0,97.9,981482
2017-03-16,97.98,98.49,97.63,98.23,980333
2017-03-17,98.75,99.37,97.02,98.38,1612338
2017-03-20,98.6,98.87,97.98,98.64,1303656
2017-03-21,98.75,99.65,97.98,98.03,1820668
2017-03-22,98.25,98.45,97.36,97.51,887145
2017-03-23,97.09,97.92,97.06,97.25,872850
2017-03-24,97.29,97.73,96.74,97.02,586677
2017-03-27,96.59,96.98,96.14,96.46,1032123
2017-03-28,96.25,96.57,95.49,96.3,1392545
2017-03-29,96.17,96.74,95.74,96.66,1115744
2017-03-30,96.21,96.56,95.5,95.57,1307644
2017-03-31,95.35,96.18,95.2,95.71,1453659
2017-04-03,95.98,96.27,95.18,95.46,1328255
2017-04-04,95.28,95.75,94.6,95.59,1538493
2017-04-05,95.46,96.24,95.11,95.46,1446521
2017-04-06,95.62,97.0,95.6,96.0,1449565
2017-04-07,95.86,96.23,95.18,95.37,995676
2017-04-10,95.26,96.1,95.06,95.89,827382
2017-04-11,95.77,95.77,94.71,95.58,1092248
2017-04-12,95.53,95.72,95.17,95.56,835178
2017-04-13,95.5,95.61,94.56,94.56,855934
2017-04-17,94.78,95.18,94.47,95.13,676050
2017-04-18,94.98,96.6,94.72,96.32,1176139
2017-04-19,96.32,96.62,95.76,96.16,1473911
2017-04-20,95.48,95.59,94.6,95.05,1607301
2017-04-21,94.98,95.2,94.58,94.86,1807561
2017-04-24,95.62,96.41,95.49,96.04,1185048
2017-04-25,96.34,96.97,96.32,96.52,1215874
2017-04-26,96.43,96.77,95.79,95.83,972039
2017-04-27,96.2,96.65,95.56,95.78,1319759
2017-04-28,95.76,96.05,95.17,95.89,958499
2017-05-01,95.94,96.45,95.23,95.26,926029
2017-05-02,95.22,95.7,94.48,95.36,1962423
2017-05-03,92.02,93.04,89.27,90.89,8211217
2017-05-04,90.73,93.35,90.39,91.73,3582399
2017-05-05,92.31,93.22,92.16,93.12,1983109
2017-05-08,93.43,94.0,93.1,93.93,2386852
2017-05-09,93.68,93.88,92.59,92.8,1274377
2017-05-10,92.67,92.87,92.24,92.82,933256
2017-05-11,92.58,93.51,92.5,93.49,1116419
2017-05-12,93.46,93.99,93.03,93.74,1307387
2017-05-15,93.5,94.28,93.5,94.08,960345
2017-05-16,94.05,94.6,93.96,94.07,968034
2017-05-17,93.71,94.5,92.81,93.03,1443131
2017-05-18,92.85,92.86,92.3,92.52,1656162
2017-05-19,92.87,94.22,92.54,94.13,1968849
2017-05-22,94.61,95.5,94.29,95.17,2202431
2017-05-23,95.31,95.52,94.31,94.85,2302385
2017-05-24,94.69,94.9,94.01,94.44,1376901
2017-05-25,94.96,95.19,94.45,94.66,1543504
2017-05-26,94.08,96.05,93.81,95.78,1733984
2017-05-30,95.41,95.8,94.78,95.28,1608991
2017-05-31,95.5,96.29,94.54,94.79,2960851
2017-06-01,95.01,96.59,95.01,96.59,1786625
2017-06-02,96.88,97.38,96.42,96.86,1003977
2017-06-05,96.38,96.56,95.62,96.25,1816798
2017-06-06,96.14,96.59,95.82,96.02,1019662
2017-06-07,95.99,97.5,88.32,89.78,9451735
2017-06-08,89.56,89.95,86.03,87.16,8588640
2017-06-09,86.8,87.42,86.15,87.4,3918250
2017-06-12,87.2,88.53,86.88,88.26,3622132
2017-06-13,88.45,89.23,88.0,88.98,2734612
2017-06-14,89.33,89.77,87.73,88.12,2065967
2017-06-15,87.8,87.98,87.24,87.64,2087759
2017-06-16,87.66,87.84,85.99,86.85,3149234
2017-06-19,87.06,87.06,85.91,86.58,3072489
2017-06-20,86.47,87.21,86.4,86.66,1596419
2017-06-21,86.5,86.86,85.59,85.77,1376508
2017-06-22,85.71,86.3,85.46,85.95,1684872
2017-06-23,85.98,86.71,85.76,86.5,1770583
2017-06-26,86.94,87.17,86.35,86.35,1161766
2017-06-27,86.4,86.59,85.77,86.38,1257901
2017-06-28,86.78,87.82,86.5,87.42,1497489
2017-06-29,87.41,87.41,85.9,86.46,1312029
2017-06-30,86.86,86.96,86.3,86.34,1015629
2017-07-03,86.68,86.98,86.19,86.41,516340
2017-07-05,86.15,86.69,85.92,86.44,1720014
2017-07-06,86.32,86.86,86.04,86.2,1011419
2017-07-07,86.2,86.72,85.84,86.13,1330451
2017-07-10,86.55,86.73,85.55,85.61,836984
2017-07-11,85.56,86.27,85.34,85.92,988477
2017-07-12,86.71,87.56,86.26,86.75,2657325
2017-07-13,87.04,87.33,86.42,86.99,1921760
2017-07-14,87.28,88.03,87.11,87.89,983437
2017-07-17,88.04,88.22,87.47,87.51,974418
2017-07-18,87.7,87.8,87.22,87.62,665047
2017-07-19,87.75,88.59,87.32,88.53,1312404
2017-07-20,88.62,88.91,87.49,87.54,1253157
2017-07-21,87.51,88.12,87.29,87.98,1869012
2017-07-24,87.94,88.37,87.74,87.96,1334692
2017-07-25,87.97,88.87,87.8,88.58,1268239
2017-07-26,88.78,89.36,88.36,89.04,2105843
2017-07-27,89.6,90.5,89.11,89.57,1323159
2017-07-28,89.79,89.8,88.55,89.11,718049
2017-07-31,,,88.67,88.98,874110
2017-08-01,89.1,89.51,88.8,89.19,1498609
2017-08-02,93.61,94.02,90.76,91.83,2702167
2017-08-03,91.7,92.54,90.8,90.87,1566625
2017-08-04,90.98,91.34,90.12,90.51,1209019
2017-08-07,90.43,90.51,89.84,89.85,1288831
2017-08-08,89.93,91.14,89.91,90.66,1778206
2017-08-09,90.61,90.72,90.01,90.5,1131891
2017-08-10,90.0,90.71,89.47,90.2,1150126
2017-08-11,90.32,91.1,89.71,90.4,688645
2017-08-14,90.6,91.35,90.54,90.87,783523
2017-08-15,90.78,91.26,90.57,91.07,719780
2017-08-16,91.08,91.74,90.96,91.34,803751
2017-08-17,91.15,91.52,89.94,89.96,953274
2017-08-18,89.81,90.1,89.33,89.74,1091526
2017-08-21,89.79,90.13,89.5,89.73,470309
2017-08-22,89.78,90.17,88.3,89.02,1973792
2017-08-23,88.85,89.77,88.34,89.39,1441220
2017-08-24,89.09,89.87,88.27,89.81,3484328
2017-08-25,90.19,91.36,89.81,91.0,2467997
2017-08-28,91.04,91.12,89.11,89.49,3669640
2017-08-29,88.39,89.54,88.36,89.39,1102794
2017-08-30,89.43,89.98,89.43,89.63,711805
2017-08-31,89.87,90.4,89.59,89.75,1241757
2017-09-01,89.99,90.62,89.67,90.03,942548
2017-09-05,89.71,90.11,88.55,88.88,1290177
2017-09-06,89.02,89.34,88.36,88.72,1987808
2017-09-07,88.87,89.17,87.83,87.94,1547363
2017-09-08,88.08,88.42,87.64,88.25,1786669
2017-09-11,88.55,89.55,88.4,89.41,1194256
2017-09-12,89.56,90.25,89.24,89.7,679328
2017-09-13,88.89,89.37,88.28,88.58,1717861
2017-09-14,88.41,89.13,87.68,87.77,1139056
2017-09-15,87.48,87.88,86.66,87.25,1724263
2017-09-18,87.25,87.25,85.89,86.13,1407280
2017-09-19,86.14,86.42,85.21,85.47,1094919
2017-09-20,85.25,85.58,83.18,83.48,1777846
2017-09-21,83.55,83.55,82.14,82.81,1537546
2017-09-22,82.81,83.2,82.51,82.81,1475921
2017-09-25,82.83,83.0,81.91,82.22,2207293
2017-09-26,82.19,82.87,81.94,82.35,1231235
2017-09-27,82.22,82.35,81.57,81.86,1459324
2017-09-28,81.69,81.99,80.92,81.35,1677838
2017-09-29,81.56,82.3,81.41,81.64,1614086
2017-10-02,81.77,82.22,81.42,82.02,2176738
