Date,Open,High,Low,Close,Volume
2016-10-04,63.82,64.3,63.74,63.9,416785
2016-10-05,64.03,64.88,63.98,64.72,632135
2016-10-06,64.9,64.98,64.33,64.38,591055
2016-10-07,64.4,64.53,63.9,64.38,370193
2016-10-10,64.84,65.04,64.54,64.82,387632
2016-10-11,64.57,65.0,63.97,64.21,474303
2016-10-12,64.32,64.59,64.15,64.39,576853
2016-10-13,63.87,63.87,63.26,63.62,395293
2016-10-14,64.09,64.34,63.64,63.74,651059
2016-10-17,63.88,64.14,63.68,63.73,438588
2016-10-18,64.43,64.55,64.09,64.31,448771
2016-10-19,64.5,64.81,64.4,64.42,343308
2016-10-20,64.17,64.31,63.75,63.89,234183
2016-10-21,63.41,63.65,63.16,63.48,265990
2016-10-24,63.82,63.98,63.56,63.66,281822
2016-10-25,63.64,63.72,63.04,63.19,456336
2016-10-26,63.77,64.09,63.11,63.17,369317
2016-10-27,63.9,63.9,63.08,63.34,643908
2016-10-28,63.5,63.95,62.96,63.37,493658
2016-10-31,63.71,64.19,63.39,63.41,907038
2016-11-01,63.72,63.72,62.86,63.33,536598
2016-11-02,63.16,63.57,63.09,63.31,414401
2016-11-03,63.43,63.97,63.29,63.81,413072
2016-11-04,63.84,64.05,63.37,63.65,513244
2016-11-07,64.68,65.05,64.56,64.9,537786
2016-11-08,64.81,65.7,64.61,65.43,390330
2016-11-09,66.11,68.05,65.66,67.54,1013693
2016-11-10,70.22,70.22,68.35,69.59,887197
2016-11-11,69.46,70.17,69.09,70.02,607512
2016-11-14,70.7,71.49,70.44,70.81,596496
2016-11-15,70.5,70.68,69.68,69.99,779702
2016-11-16,69.64,70.07,69.14,69.2,553754
2016-11-17,69.15,70.32,69.15,70.16,487001
2016-11-18,69.45,70.45,69.32,70.06,842354
2016-11-21,70.37,70.41,69.67,70.38,370835
2016-11-22,70.51,70.75,70.11,70.67,448773
2016-11-23,70.85,71.07,70.5,70.92,599042
2016-11-25,70.95,71.1,70.65,71.1,144578
2016-11-28,70.77,70.98,69.55,69.59,865352
2016-11-29,69.89,70.18,69.59,69.67,660198
2016-11-30,70.28,70.5,69.91,70.09,767566
2016-12-01,70.57,71.41,70.48,71.36,532359
2016-12-02,71.31,71.45,70.59,70.98,441864
2016-12-05,71.62,71.74,71.05,71.53,610586
2016-12-06,71.69,72.4,71.23,72.29,603492
2016-12-07,72.56,73.35,72.14,73.29,682084
2016-12-08,73.48,74.33,73.36,74.0,502712
2016-12-09,73.87,73.99,73.28,73.69,524345
2016-12-12,73.45,73.8,72.72,73.03,574305
2016-12-13,73.12,73.59,72.69,73.48,384609
2016-12-14,73.22,74.24,73.08,73.45,687434
2016-12-15,73.54,74.27,73.46,73.74,420099
2016-12-16,73.75,73.82,73.12,73.35,1076694
2016-12-19,73.28,74.41,73.01,74.34,837352
2016-12-20,74.66,74.9,74.35,74.8,461362
