Date,Open,High,Low,Close,Volume
2016-10-04,63.74,64.73,63.41,64.42,1019351
2016-10-05,64.75,66.13,64.54,65.87,2138443
2016-10-06,65.89,65.89,64.36,64.84,1675302
2016-10-07,65.09,65.09,63.6,64.0,1185144
2016-10-10,64.24,64.8,64.01,64.6,1203585
2016-10-11,64.5,64.6,63.1,63.43,2072689
2016-10-12,63.39,63.44,62.5,62.99,1558721
2016-10-13,62.66,62.66,61.75,62.24,1737510
2016-10-14,62.4,62.65,61.11,61.31,1983138
2016-10-17,61.43,61.85,60.69,61.46,1471267
2016-10-18,62.66,63.49,62.07,63.19,1666284
2016-10-19,63.16,64.24,63.16,63.87,2040040
2016-10-20,63.69,63.71,61.91,62.03,1534496
2016-10-21,61.87,63.67,61.74,62.96,2069710
2016-10-24,63.57,63.94,63.17,63.83,1174848
2016-10-25,63.72,64.26,63.1,63.53,812610
2016-10-26,62.54,63.52,61.51,61.75,1503632
2016-10-27,62.39,62.53,61.24,61.85,1397483
2016-10-28,62.48,64.86,61.84,64.34,2363536
2016-10-31,64.63,64.74,64.0,64.48,1155706
2016-11-01,64.41,64.58,62.93,63.47,1256084
2016-11-02,63.38,63.65,61.5,61.63,1262500
2016-11-03,61.66,63.25,61.39,62.74,1098684
2016-11-04,62.31,64.05,62.31,63.64,1357805
2016-11-07,64.6,64.85,63.36,63.43,2595436
2016-11-08,63.56,65.56,62.82,63.1,6931425
2016-11-09,53.0,56.02,51.0,52.63,18906705
2016-11-10,52.7,53.73,51.01,51.83,6272164
2016-11-11,51.94,51.94,50.59,51.01,3326432
2016-11-14,51.03,51.28,48.52,48.8,5540386
2016-11-15,49.57,50.52,49.33,50.02,4645583
2016-11-16,49.84,51.2,49.74,50.4,3272105
2016-11-17,50.18,51.69,50.1,50.97,2253303
2016-11-18,50.77,51.51,50.29,50.79,1338828
2016-11-21,51.3,52.04,50.93,51.68,1433253
2016-11-22,51.69,52.08,51.23,51.34,1305155
2016-11-23,51.0,51.01,50.39,50.79,1060034
2016-11-25,50.92,51.4,50.66,51.17,501095
2016-11-28,51.06,51.19,50.07,50.18,1925887
2016-11-29,50.43,50.82,49.16,49.3,2349047
2016-11-30,49.24,49.72,48.25,48.28,2706159
2016-12-01,48.34,48.39,46.88,47.16,2264462
2016-12-02,47.2,47.35,45.95,46.46,2588672
2016-12-05,47.13,48.51,46.69,47.98,2761415
2016-12-06,48.13,48.5,47.77,48.17,1379642
2016-12-07,48.19,48.4,47.54,47.6,2724765
2016-12-08,47.39,48.31,47.25,48.06,1664396
2016-12-09,48.17,49.4,48.01,49.23,1811601
2016-12-12,49.01,49.36,48.25,48.71,2146347
2016-12-13,48.83,49.55,48.66,49.03,1412366
2016-12-14,49.02,49.19,47.38,47.62,3847126
2016-12-15,47.69,47.98,47.14,47.38,1880917
2016-12-16,47.57,48.09,47.18,47.37,4050510
2016-12-19,47.53,47.6,46.38,46.45,1919516
2016-12-20,47.09,49.75,47.02,48.79,5586721
2016-12-21,49.49,49.49,46.2,46.28,2703936
2016-12-22,46.43,46.45,45.63,46.39,2677539
2016-12-23,46.47,46.69,46.17,46.54,1222638
2016-12-27,46.58,47.48,46.49,47.29,1416035
2016-12-28,47.23,47.65,46.64,46.85,1368879
2016-12-29,46.75,47.12,46.53,46.95,1622578
2016-12-30,47.0,47.27,46.16,46.37,1533636
2017-01-03,46.75,47.63,46.21,47.51,1913990
2017-01-04,47.74,49.0,47.63,48.86,2011388
2017-01-05,48.89,49.75,48.83,49.2,1734681
2017-01-06,49.01,51.06,48.56,50.77,2940673
2017-01-09,50.92,51.42,50.4,50.92,2646900
2017-01-10,51.07,51.88,50.24,51.31,2572763
2017-01-11,51.01,51.92,50.83,51.66,1560165
2017-01-12,51.72,52.35,50.81,51.88,2499996
2017-01-13,52.03,53.3,52.03,52.92,2254501
2017-01-17,52.56,53.58,52.38,52.6,1926548
2017-01-18,52.66,53.39,52.46,52.88,1289302
2017-01-19,52.9,53.11,51.58,52.16,2097831
2017-01-20,52.23,52.92,51.26,51.85,2137540
2017-01-23,51.79,51.85,50.91,51.39,1550456
2017-01-24,51.66,52.38,50.76,52.13,1412610
2017-01-25,52.75,52.86,52.06,52.65,1892979
2017-01-26,52.73,52.84,52.1,52.18,772717
2017-01-27,52.46,52.46,51.67,52.0,812887
2017-01-30,51.97,52.33,51.23,52.25,1145599
2017-01-31,51.98,53.18,51.8,52.9,1405737
2017-02-01,52.99,53.47,51.57,51.87,1800906
2017-02-02,51.81,52.73,51.3,52.06,1044984
2017-02-03,52.4,52.96,52.06,52.61,960986
2017-02-06,52.5,52.87,51.63,51.96,1644297
2017-02-07,52.03,52.4,51.5,51.96,1305017
2017-02-08,51.96,52.32,51.45,51.89,1786303
2017-02-09,52.12,52.9,52.04,52.51,2395161
2017-02-10,52.7,52.9,51.82,52.0,2486631
2017-02-13,52.02,52.2,51.33,51.39,2586323
2017-02-14,51.5,52.46,50.72,52.19,3855261
2017-02-15,52.33,53.29,52.2,52.7,6553366
2017-02-16,49.0,50.36,46.84,46.92,12391044
2017-02-17,46.97,47.65,46.32,47.06,5935715
2017-02-21,47.25,47.31,46.77,46.84,2424593
2017-02-22,45.84,46.16,44.96,45.55,4343788
2017-02-23,46.12,46.2,43.21,43.46,6814868
2017-02-24,43.15,43.36,42.0,42.62,4670239
2017-02-27,42.01,43.2,41.81,42.81,5004487
2017-02-28,42.18,42.25,41.15,41.47,3918310
2017-03-01,41.79,41.9,40.74,41.47,3881821
2017-03-02,40.85,41.53,40.45,40.82,3173973
2017-03-03,40.94,41.78,40.81,41.74,3667698
2017-03-06,41.5,41.68,40.81,41.6,3430341
2017-03-07,41.35,41.92,41.1,41.31,3401785
2017-03-08,41.23,44.06,41.2,43.83,7547721
2017-03-09,43.94,44.6,43.12,43.59,4063861
2017-03-10,43.72,44.35,43.28,43.6,2706853
2017-03-13,43.62,44.0,43.15,43.51,1482343
2017-03-14,43.4,43.5,41.94,42.26,1819716
2017-03-15,42.44,42.88,42.0,42.71,1910256
2017-03-16,42.82,43.18,42.61,43.07,1522658
2017-03-17,43.23,43.39,42.88,43.27,2213001
2017-03-20,43.19,43.4,42.82,43.0,1307757
2017-03-21,43.26,43.36,41.64,41.71,2304181
2017-03-22,41.8,41.8,40.87,41.4,2869119
2017-03-23,41.35,42.7,40.92,42.52,5023091
2017-03-24,42.73,43.02,42.45,42.69,2440526
2017-03-27,42.33,42.94,42.0,42.66,1548733
2017-03-28,42.52,43.42,42.5,43.13,1793289
2017-03-29,43.1,43.77,42.83,43.65,1706971
2017-03-30,43.5,43.58,42.8,43.31,2848970
2017-03-31,43.38,43.62,43.02,43.16,2435647
2017-04-03,43.26,43.44,42.16,42.77,3074130
2017-04-04,42.54,42.76,41.58,41.64,2186776
2017-04-05,41.78,42.33,41.35,41.76,4075598
2017-04-06,41.94,42.75,41.75,42.3,4144477
2017-04-07,42.29,42.59,42.04,42.06,3169454
2017-04-10,42.2,42.63,42.03,42.24,3605844
2017-04-11,42.08,42.14,41.12,41.45,3849454
2017-04-12,41.45,42.1,41.2,41.5,1875367
2017-04-13,41.5,41.76,41.16,41.36,1830721
2017-04-17,41.72,41.8,40.89,41.77,3688579
2017-04-18,41.49,42.1,41.14,41.97,1922392
2017-04-19,42.18,42.89,41.96,42.03,2355633
2017-04-20,42.28,43.0,42.15,42.71,1928027
2017-04-21,42.68,43.06,42.32,42.65,5112946
2017-04-24,43.1,43.8,42.82,43.34,2487250
2017-04-25,43.48,43.94,42.77,43.65,1923598
2017-04-26,43.7,44.86,43.68,44.5,2920941
2017-04-27,44.51,45.31,44.11,45.1,3647898
2017-04-28,45.2,45.2,43.66,45.01,3961697
2017-05-01,45.03,45.5,44.77,44.96,2079307
2017-05-02,45.07,46.12,44.74,46.1,2638755
2017-05-03,46.13,46.23,44.85,45.11,2751495
2017-05-04,45.12,45.95,45.02,45.89,2878432
2017-05-05,45.86,46.45,45.73,46.17,1870504
2017-05-08,46.18,47.38,46.03,47.03,3887262
2017-05-09,47.1,48.1,46.82,46.92,4388598
2017-05-10,49.8,50.95,46.7,47.99,8630400
2017-05-11,47.36,47.52,45.51,45.63,4102770
2017-05-12,46.09,46.68,45.57,46.25,2167862
2017-05-15,46.4,47.08,46.2,46.67,2019295
2017-05-16,47.04,47.04,45.52,45.62,2624565
2017-05-17,45.0,45.53,43.76,43.97,4214357
2017-05-18,43.97,44.93,43.66,44.61,1837550
2017-05-19,44.74,44.74,43.89,44.08,2076659
2017-05-22,44.3,44.56,42.46,42.97,4673478
2017-05-23,42.93,42.93,40.67,40.87,5647560
2017-05-24,40.77,40.9,39.93,40.8,4190519
2017-05-25,40.81,40.83,39.79,39.82,3494583
2017-05-26,39.25,39.68,38.32,39.07,4865381
2017-05-30,38.91,39.23,38.66,39.06,3327195
2017-05-31,39.25,39.32,38.23,38.51,3300988
2017-06-01,38.65,40.14,38.65,39.97,3159138
2017-06-02,40.0,40.11,38.76,39.13,2283163
2017-06-05,39.13,39.29,38.77,39.04,1524912
2017-06-06,38.93,38.93,38.01,38.07,2281971
2017-06-07,38.2,38.5,36.85,37.28,3250686
2017-06-08,36.97,37.65,36.96,37.39,2049526
2017-06-09,37.31,37.79,37.05,37.48,2790861
2017-06-12,37.42,38.4,37.34,37.81,2491114
2017-06-13,37.95,38.81,37.88,38.78,2560325
2017-06-14,38.92,39.39,38.44,38.57,2316519
2017-06-15,38.26,38.37,37.4,37.91,1400041
2017-06-16,37.77,37.98,37.34,37.91,3408676
2017-06-19,37.07,37.39,35.96,36.1,3865196
2017-06-20,36.09,36.58,35.69,36.01,2467245
2017-06-21,36.1,36.1,35.34,35.82,1601888
2017-06-22,35.82,36.23,35.61,35.74,1685699
2017-06-23,35.85,37.0,35.71,36.96,3927839
2017-06-26,37.07,37.35,36.62,36.67,2011236
2017-06-27,36.79,37.25,36.24,36.49,1425486
2017-06-28,37.06,38.73,37.0,38.14,3995109
2017-06-29,38.02,38.49,37.22,38.0,2118901
2017-06-30,38.2,38.91,38.14,38.2,2032617
2017-07-03,38.48,38.79,38.21,38.48,1092058
2017-07-05,38.45,38.64,37.45,37.78,2263014
2017-07-06,37.68,37.85,36.6,36.66,2046224
2017-07-07,36.68,37.15,36.53,36.64,1451505
2017-07-10,36.6,36.7,36.05,36.19,1951593
2017-07-11,36.23,36.85,35.99,36.41,1476867
2017-07-12,36.74,37.58,36.35,37.31,1758177
2017-07-13,37.37,38.15,37.31,38.03,1504247
2017-07-14,38.14,38.55,37.79,38.13,1486467
2017-07-17,38.13,38.69,37.8,38.0,945933
2017-07-18,38.0,38.31,37.75,38.28,1540850
2017-07-19,39.1,39.84,38.63,39.6,3720987
2017-07-20,39.6,39.76,37.87,37.89,2119418
