Date,Open,High,Low,Close,Volume
2016-10-04,33.91,34.29,33.49,33.7,957928
2016-10-05,33.71,33.99,33.34,33.38,1140184
2016-10-06,33.24,33.26,32.63,32.9,587518
2016-10-07,33.01,33.09,32.67,32.85,485301
2016-10-10,33.4,33.49,33.17,33.27,626684
2016-10-11,33.31,33.85,33.04,33.21,615770
2016-10-12,33.17,33.99,33.1,33.76,720596
2016-10-13,33.23,33.46,32.78,33.39,588463
2016-10-14,33.99,34.2,33.51,33.62,543863
2016-10-17,33.5,33.62,32.69,32.76,387916
2016-10-18,33.17,33.45,32.99,33.31,516782
2016-10-19,33.34,34.16,33.34,34.02,598530
2016-10-20,33.83,33.88,33.29,33.42,925543
2016-10-21,33.15,33.23,32.78,32.96,871124
2016-10-24,33.12,33.4,32.75,32.9,726299
2016-10-25,28.09,28.74,27.58,28.37,6816097
2016-10-26,28.28,28.37,27.42,27.46,6656866
2016-10-27,27.64,27.69,25.96,26.49,3365416
2016-10-28,26.64,26.72,25.91,25.91,2192129
2016-10-31,25.89,26.14,25.53,25.86,1483757
2016-11-01,26.01,26.1,25.02,25.51,1917801
2016-11-02,25.36,26.09,25.18,25.35,1637801
2016-11-03,25.31,25.7,24.93,25.3,1557521
2016-11-04,25.22,25.65,25.22,25.61,1293341
2016-11-07,25.98,26.15,25.82,25.94,1151279
2016-11-08,25.98,26.12,25.69,26.09,764567
2016-11-09,25.11,26.15,24.63,25.9,1353172
2016-11-10,26.08,26.73,25.61,25.61,860885
2016-11-11,25.64,26.13,25.45,25.61,938829
2016-11-14,25.73,25.85,24.83,24.88,1067024
2016-11-15,25.01,25.57,24.8,25.36,1148414
2016-11-16,25.28,25.42,24.98,25.32,1324180
2016-11-17,25.48,25.49,24.83,25.27,803088
2016-11-18,25.23,25.23,23.56,23.75,1805098
2016-11-21,23.84,24.18,23.8,23.8,1138437
2016-11-22,23.93,24.09,23.51,24.01,1845767
2016-11-23,24.19,24.23,23.72,23.93,1308733
2016-11-25,24.1,24.24,23.81,24.14,479124
2016-11-28,25.04,26.63,24.76,26.29,7457476
2016-11-29,26.77,26.94,25.64,25.86,3222311
2016-11-30,25.82,26.22,25.66,25.78,2199829
2016-12-01,25.98,26.52,25.14,25.2,1568197
2016-12-02,25.3,25.32,24.58,24.77,1736134
2016-12-05,24.97,25.37,24.9,25.06,1712967
2016-12-06,25.45,25.52,25.01,25.41,1202357
2016-12-07,26.65,27.28,26.02,27.03,6525630
2016-12-08,28.1,28.85,27.44,28.82,6932695
2016-12-09,29.41,29.53,28.28,28.81,4014148
2016-12-12,28.9,29.06,27.5,27.61,3197844
2016-12-13,27.7,27.98,27.17,27.34,2908443
2016-12-14,27.37,27.4,26.44,26.57,2829072
2016-12-15,26.79,26.79,25.5,25.8,3919217
2016-12-16,25.89,26.16,25.45,25.48,2964252
2016-12-19,25.74,25.8,25.26,25.37,2733023
2016-12-20,25.48,25.92,25.47,25.69,3071387
2016-12-21,25.96,26.11,25.48,26.05,3754527
2016-12-22,26.07,26.16,25.36,25.48,2436328
2016-12-23,25.63,25.73,25.16,25.23,1443579
2016-12-27,25.23,25.5,25.11,25.18,1686147
2016-12-28,25.22,25.34,24.86,25.23,1636545
2016-12-29,25.28,25.36,25.07,25.12,1784289
2016-12-30,25.17,25.33,24.92,25.17,3574747
2017-01-03,25.49,25.85,25.25,25.76,1996889
2017-01-04,26.0,26.72,25.93,26.57,2626963
2017-01-05,26.45,26.47,26.03,26.21,2527895
2017-01-06,26.46,27.07,26.41,27.04,3766342
2017-01-09,27.47,27.53,26.84,27.02,2815478
2017-01-10,27.12,27.64,27.06,27.32,1711264
2017-01-11,27.45,27.48,26.75,26.98,1777748
2017-01-12,26.91,26.99,26.57,26.84,1295228
2017-01-13,26.79,26.92,26.12,26.5,3140155
2017-01-17,26.44,26.47,25.97,26.2,2421201
2017-01-18,26.23,26.25,25.25,25.35,2693684
2017-01-19,25.6,25.74,24.9,25.26,3873137
2017-01-20,25.48,25.54,24.9,25.16,3215910
2017-01-23,25.19,25.19,24.5,24.96,3062134
2017-01-24,25.0,25.21,24.91,25.12,2384133
2017-01-25,25.44,25.78,25.4,25.69,2130201
2017-01-26,25.78,26.25,25.36,25.5,1404812
2017-01-27,25.5,25.64,25.1,25.52,1903559
2017-01-30,25.56,25.59,24.82,25.09,3275152
2017-01-31,18.78,20.08,18.52,19.22,57001577
2017-02-01,19.5,19.56,18.76,18.8,14801052
2017-02-02,18.81,18.81,18.05,18.12,12632471
2017-02-03,18.25,18.3,18.02,18.19,6407894
2017-02-06,18.31,18.4,18.1,18.14,5216788
2017-02-07,18.14,18.28,17.77,17.79,7803817
2017-02-08,17.8,18.44,17.8,18.3,6765510
2017-02-09,18.35,19.33,18.33,19.3,9278095
2017-02-10,19.56,19.56,18.86,19.04,6249292
2017-02-13,19.25,19.26,18.53,18.65,4709881
2017-02-14,18.86,19.48,18.85,19.41,6275821
2017-02-15,19.35,19.91,19.16,19.86,7106601
2017-02-16,19.94,19.98,19.45,19.63,4232736
2017-02-17,19.6,19.9,19.5,19.75,4778767
2017-02-21,19.81,19.91,19.6,19.69,2714311
2017-02-22,19.77,20.23,19.57,19.78,3964541
2017-02-23,19.87,19.87,19.57,19.64,3444352
2017-02-24,19.55,19.88,19.3,19.83,3527661
2017-02-27,19.45,19.52,19.18,19.28,4606649
2017-02-28,19.28,19.35,18.5,18.56,4603906
2017-03-01,18.75,18.8,18.42,18.58,3991308
2017-03-02,18.59,19.03,18.54,18.96,2784994
2017-03-03,18.98,19.02,18.53,18.64,2660710
2017-03-06,18.62,18.64,18.2,18.31,3002782
2017-03-07,18.25,18.27,17.82,18.11,4527826
2017-03-08,18.1,18.15,17.74,17.75,3671815
2017-03-09,17.75,17.76,17.37,17.69,4011964
2017-03-10,17.75,18.24,17.69,17.75,3194753
2017-03-13,17.81,17.88,17.51,17.56,3275733
2017-03-14,17.5,17.7,17.4,17.62,2771166
2017-03-15,17.67,17.96,17.52,17.83,2213746
2017-03-16,17.83,18.34,17.67,18.17,2748003
2017-03-17,18.27,18.29,17.91,18.08,3869092
2017-03-20,18.08,18.28,17.88,18.26,2103593
2017-03-21,18.16,18.21,17.27,17.52,4761530
2017-03-22,17.24,17.53,17.05,17.51,3975715
2017-03-23,17.47,17.75,17.35,17.44,2245096
2017-03-24,18.13,18.52,17.98,18.16,6698222
2017-03-27,18.06,18.52,17.94,18.3,3657027
2017-03-28,18.36,18.57,18.25,18.49,2665144
2017-03-29,18.43,19.05,18.3,18.84,4788240
2017-03-30,18.63,18.74,18.34,18.37,3348398
2017-03-31,18.4,18.56,18.23,18.3,2767095
