Date,Open,High,Low,Close,Volume
2016-10-04,38.68,38.81,38.25,38.49,2649520
2016-10-05,38.58,38.89,38.24,38.41,3160362
2016-10-06,38.35,38.39,37.4,37.82,4433849
2016-10-07,37.99,38.14,37.61,37.78,2396576
2016-10-10,38.52,38.58,38.19,38.28,3154838
2016-10-11,38.34,38.79,37.97,38.12,3523510
2016-10-12,38.1,38.8,38.0,38.52,2773213
2016-10-13,38.11,38.24,37.47,38.18,3032572
2016-10-14,38.94,39.2,38.35,38.49,3270384
2016-10-17,38.45,38.48,37.54,37.63,2826900
2016-10-18,38.1,38.5,37.93,38.3,3541168
2016-10-19,38.36,39.12,38.33,38.82,3087600
2016-10-20,38.49,38.8,38.06,38.41,3744180
2016-10-21,38.24,38.24,37.72,37.94,3831478
2016-10-24,38.11,38.38,37.65,37.9,5216443
2016-10-25,32.67,33.64,32.25,32.89,58153899
2016-10-26,32.73,32.82,31.72,31.81,25682786
2016-10-27,32.05,32.08,30.63,31.4,16333775
2016-10-28,31.45,31.54,30.81,30.94,9243320
2016-10-31,30.72,31.3,30.57,31.1,8174552
2016-11-01,31.26,31.39,30.06,30.52,8033591
2016-11-02,30.41,31.43,30.21,30.79,9237205
2016-11-03,30.83,30.9,30.17,30.3,5458863
2016-11-04,30.32,30.99,30.3,30.8,5631531
2016-11-07,31.29,31.39,31.04,31.26,4238937
2016-11-08,31.3,31.58,31.07,31.33,3917037
2016-11-09,30.49,31.84,30.25,31.59,6647996
2016-11-10,32.08,32.61,31.33,31.57,5213964
2016-11-11,31.54,31.99,31.33,31.82,4070686
2016-11-14,31.99,32.13,31.04,31.17,6213776
2016-11-15,31.23,32.19,31.01,31.94,5206475
2016-11-16,31.93,32.56,31.66,32.1,5001945
2016-11-17,32.31,32.51,31.92,32.31,3332326
2016-11-18,32.4,32.46,30.45,30.95,9618386
2016-11-21,30.98,31.29,30.61,30.87,5279081
2016-11-22,30.95,30.99,30.46,30.83,4820031
2016-11-23,30.63,30.78,30.34,30.71,3933607
2016-11-25,30.77,31.0,30.52,30.6,1885893
2016-11-28,30.63,31.65,30.25,31.17,10079984
2016-11-29,31.18,31.53,30.67,30.9,4957826
2016-11-30,31.0,31.4,30.67,30.8,5201186
2016-12-01,30.8,31.15,30.26,30.47,4033398
2016-12-02,30.32,30.32,29.6,30.03,7484262
2016-12-05,30.2,30.9,30.15,30.43,4825061
2016-12-06,31.0,31.1,30.52,30.94,4153187
2016-12-07,31.25,32.46,31.22,32.27,5616441
2016-12-08,33.36,33.36,32.5,32.94,7117641
2016-12-09,33.1,33.45,32.64,32.99,4823862
2016-12-12,32.93,33.05,31.64,32.26,4957975
2016-12-13,32.25,32.94,32.2,32.27,3493644
2016-12-14,32.2,32.34,31.41,31.67,3472924
2016-12-15,31.67,31.67,30.6,31.0,3189741
2016-12-16,30.82,31.06,30.34,30.39,3795835
2016-12-19,30.5,30.75,29.91,30.11,3783651
2016-12-20,30.07,30.29,29.94,30.01,4188091
2016-12-21,29.79,30.06,29.33,30.05,5116309
2016-12-22,29.9,30.04,29.14,29.39,3788187
2016-12-23,29.46,29.61,29.2,29.29,1927803
2016-12-27,29.04,29.72,29.04,29.31,2476653
2016-12-28,29.37,29.6,29.05,29.42,2246071
2016-12-29,29.26,29.44,29.12,29.23,2727679
2016-12-30,29.16,29.35,29.0,29.05,3712223
2017-01-03,29.34,29.98,29.28,29.87,3441948
2017-01-04,30.15,30.9,30.0,30.54,3838882
2017-01-05,30.55,30.71,29.9,30.29,3248591
2017-01-06,30.49,30.66,30.24,30.47,2663465
2017-01-09,30.57,30.8,30.44,30.47,1953698
2017-01-10,30.71,31.06,30.55,30.71,2149691
2017-01-11,30.71,30.75,30.18,30.55,2532290
2017-01-12,30.34,30.59,30.01,30.38,3128385
2017-01-13,30.35,30.58,29.94,30.08,3538972
2017-01-17,29.94,30.42,29.93,30.14,3175602
2017-01-18,30.28,30.32,29.16,29.35,5275535
2017-01-19,29.58,29.66,28.77,29.2,4362029
2017-01-20,29.09,29.25,28.7,29.02,3452865
2017-01-23,28.94,28.94,28.29,28.45,4404289
2017-01-24,28.44,28.69,28.39,28.54,4094442
2017-01-25,28.77,29.43,28.73,29.3,3843248
2017-01-26,29.34,29.64,29.05,29.13,2681309
2017-01-27,29.13,29.37,28.81,29.13,2410481
2017-01-30,29.06,29.14,28.74,28.94,5833045
2017-01-31,21.0,22.16,20.8,21.49,54105499
2017-02-01,21.65,21.86,21.1,21.44,17974326
2017-02-02,21.34,21.37,20.5,20.65,14655227
2017-02-03,20.67,20.84,20.44,20.7,7668575
2017-02-06,20.96,20.98,20.51,20.6,7027738
2017-02-07,20.78,20.89,20.45,20.47,9775233
2017-02-08,20.5,21.14,20.5,21.08,6414571
2017-02-09,21.26,21.91,21.12,21.71,6847905
2017-02-10,22.18,22.2,21.32,21.6,5047273
2017-02-13,21.74,21.93,21.26,21.32,4547634
2017-02-14,21.55,21.77,21.31,21.76,5220267
2017-02-15,21.47,21.96,21.38,21.89,5644110
2017-02-16,21.97,22.03,21.5,21.64,4231591
2017-02-17,21.68,22.09,21.52,21.88,3334490
2017-02-21,22.0,22.07,21.75,21.78,2998263
2017-02-22,22.0,22.34,21.69,21.87,4186038
2017-02-23,21.89,22.05,21.64,21.67,3444004
2017-02-24,21.61,21.93,21.41,21.81,3933102
2017-02-27,21.65,21.75,21.34,21.5,3904384
2017-02-28,21.45,21.53,20.5,20.62,7533903
2017-03-01,20.73,20.92,20.3,20.6,6624641
2017-03-02,20.6,21.04,20.51,20.93,4127984
2017-03-03,20.95,21.03,20.5,20.59,5197213
2017-03-06,20.59,20.62,19.99,20.05,4557393
2017-03-07,19.95,20.0,19.26,19.69,7305231
2017-03-08,19.75,19.76,19.11,19.14,8608261
2017-03-09,19.12,19.36,18.8,19.15,4796002
2017-03-10,19.32,19.72,19.22,19.26,4062658
2017-03-13,19.27,19.3,19.0,19.05,3209093
2017-03-14,19.0,19.17,18.85,19.02,4246405
2017-03-15,19.02,19.56,18.93,19.46,2876062
2017-03-16,19.44,19.88,19.32,19.82,3968372
2017-03-17,19.89,19.94,19.29,19.38,5567316
2017-03-20,19.38,19.59,19.23,19.59,2743052
2017-03-21,19.51,19.58,18.8,18.99,3864442
2017-03-22,18.62,19.13,18.4,19.09,5893588
2017-03-23,19.16,19.25,18.86,18.98,4454597
2017-03-24,19.62,20.03,19.43,19.66,8650194
2017-03-27,19.49,19.96,19.4,19.86,3545460
2017-03-28,19.96,20.03,19.7,19.91,3886247
2017-03-29,19.87,20.79,19.82,20.62,6683927
2017-03-30,20.35,20.41,19.96,20.09,4966383
2017-03-31,20.09,20.22,19.78,19.78,4055264
2017-04-03,19.97,20.08,19.2,19.65,8701860
2017-04-04,19.54,19.55,19.02,19.31,6233130
2017-04-05,19.51,20.28,19.33,19.62,6651545
2017-04-06,19.82,20.55,19.68,20.27,5587061
2017-04-07,20.11,20.24,19.77,19.86,4323704
2017-04-10,19.8,20.0,19.55,19.73,3967542
2017-04-11,19.66,19.68,19.22,19.42,4449158
2017-04-12,19.25,19.48,19.09,19.28,4006660
2017-04-13,19.28,19.35,19.18,19.26,3915048
2017-04-17,19.26,19.29,18.81,19.21,4841468
2017-04-18,19.08,19.18,18.94,19.1,3585263
2017-04-19,19.13,19.38,18.9,19.19,3764493
2017-04-20,19.25,19.47,19.01,19.39,3923430
2017-04-21,19.41,19.49,18.93,18.99,6342595
2017-04-24,19.15,19.5,18.98,19.44,5357589
2017-04-25,19.41,19.75,19.26,19.53,5135920
2017-04-26,19.5,19.82,19.33,19.71,10059027
2017-04-27,20.72,22.12,20.63,21.67,21423041
2017-04-28,21.83,21.87,21.09,21.49,9540757
2017-05-01,21.52,21.52,20.76,21.17,9170145
2017-05-02,21.35,21.37,20.78,21.05,5507081
2017-05-03,21.05,21.05,20.32,20.34,4876431
2017-05-04,20.33,20.48,20.15,20.42,3457582
2017-05-05,20.47,20.67,20.34,20.59,2823449
2017-05-08,20.57,20.7,20.33,20.53,3412468
2017-05-09,20.53,21.48,20.53,21.39,5630994
2017-05-10,21.4,21.61,21.11,21.18,4525226
2017-05-11,21.58,21.58,20.45,20.99,7583506
2017-05-12,21.0,21.01,20.46,20.58,4080670
2017-05-15,20.62,20.84,20.18,20.29,4162900
2017-05-16,19.9,19.94,19.34,19.48,8146209
2017-05-17,19.36,19.41,18.9,18.94,5898551
2017-05-18,19.0,19.13,18.73,18.89,3452551
2017-05-19,18.69,19.19,18.34,19.1,5683744
2017-05-22,19.1,19.47,19.02,19.28,2766570
2017-05-23,19.27,19.54,19.25,19.49,2942540
2017-05-24,19.49,19.6,19.4,19.56,2599110
2017-05-25,19.68,20.0,19.43,19.49,2724596
