Date,Open,High,Low,Close,Volume
2016-10-04,34.97,35.16,34.36,34.7,1887341
2016-10-05,34.75,34.93,33.78,33.97,2370808
2016-10-06,33.58,34.14,33.14,33.73,1921282
2016-10-07,33.93,34.31,33.35,33.44,1322447
2016-10-10,33.46,33.82,33.44,33.74,919706
2016-10-11,33.6,33.78,33.4,33.66,1234273
2016-10-12,33.72,33.85,33.44,33.82,930169
2016-10-13,33.59,34.21,33.56,34.17,1286445
2016-10-14,34.14,34.31,33.71,33.78,2150986
2016-10-17,33.9,34.07,33.75,33.81,2268125
2016-10-18,34.17,34.2,33.72,33.76,984300
2016-10-19,33.71,33.93,33.65,33.83,1210751
2016-10-20,33.86,34.16,33.63,33.71,852455
2016-10-21,33.51,33.82,33.46,33.71,1078869
2016-10-24,33.9,34.2,33.49,33.6,995348
2016-10-25,33.05,33.62,32.79,33.54,2408531
2016-10-26,33.38,34.34,33.38,34.23,2387325
2016-10-27,34.16,34.17,33.1,33.56,2540827
2016-10-28,33.58,34.28,33.52,33.85,1571209
2016-10-31,33.93,34.99,33.93,34.97,2206139
2016-11-01,34.89,35.07,34.29,34.74,2414249
2016-11-02,34.79,35.11,34.42,34.45,2260232
2016-11-03,34.38,34.81,34.28,34.42,2292414
2016-11-04,34.5,34.71,34.03,34.57,2100824
2016-11-07,34.97,35.17,34.45,34.66,1499816
2016-11-08,34.68,35.24,34.53,35.11,1423772
2016-11-09,34.3,34.76,33.5,34.47,1662486
2016-11-10,34.48,34.48,33.15,33.63,3439304
2016-11-11,33.61,34.51,33.52,34.03,1907512
2016-11-14,33.94,35.2,33.6,34.98,2723666
2016-11-15,35.12,35.14,33.56,33.77,2500838
2016-11-16,33.77,34.19,33.44,33.83,2569928
2016-11-17,33.76,34.23,33.27,33.34,1971514
2016-11-18,33.36,33.55,32.85,33.15,1710602
2016-11-21,33.23,33.53,33.01,33.11,1272233
2016-11-22,33.21,33.77,33.01,33.68,1374692
2016-11-23,33.43,33.49,33.03,33.39,1152742
2016-11-25,33.44,33.79,33.32,33.52,601785
2016-11-28,33.65,34.34,33.55,34.09,1745090
2016-11-29,34.11,34.49,34.04,34.19,1441619
2016-11-30,33.84,34.3,33.66,34.04,2369904
2016-12-01,33.93,34.02,33.32,33.38,1853172
2016-12-02,33.57,34.2,33.49,33.66,1554268
2016-12-05,33.68,33.84,33.48,33.67,1965087
2016-12-06,33.64,34.05,33.35,33.5,1818851
2016-12-07,33.56,33.96,33.43,33.89,1819960
2016-12-08,33.77,34.47,33.6,34.22,2172425
2016-12-09,34.19,34.73,34.12,34.24,1071928
2016-12-12,34.14,34.6,34.14,34.56,1008134
2016-12-13,34.47,34.68,34.06,34.56,1892524
2016-12-14,34.59,34.75,34.22,34.29,2255664
2016-12-15,34.23,34.88,34.09,34.55,1955990
2016-12-16,34.68,35.44,34.66,35.21,3325395
2016-12-19,35.38,35.69,35.23,35.54,1206284
2016-12-20,35.54,35.94,35.4,35.85,1472746
2016-12-21,35.85,36.02,35.24,35.24,1443197
2016-12-22,35.15,35.46,34.88,35.42,1138962
2016-12-23,35.54,35.65,35.39,35.57,639764
2016-12-27,35.54,35.77,35.47,35.58,641569
2016-12-28,35.58,35.58,35.13,35.49,1030936
2016-12-29,35.51,35.94,35.44,35.82,871354
2016-12-30,35.76,36.51,35.62,36.48,1685360
2017-01-03,36.67,36.78,35.7,35.95,1862978
2017-01-04,36.03,36.58,35.74,36.31,1815411
2017-01-05,36.13,36.49,35.6,36.43,2907433
2017-01-06,36.09,36.59,35.97,36.43,1415421
2017-01-09,36.49,36.61,36.04,36.05,1370327
2017-01-10,35.94,36.02,35.72,35.73,889553
2017-01-11,35.7,35.8,35.45,35.52,1383381
2017-01-12,35.55,35.96,35.22,35.93,1296309
2017-01-13,35.8,35.98,35.62,35.63,788934
2017-01-17,35.7,36.03,35.68,35.93,1268550
2017-01-18,35.98,36.29,35.83,36.07,813423
2017-01-19,35.9,36.03,35.61,35.71,1061835
2017-01-20,35.96,36.2,35.78,36.07,1513894
2017-01-23,36.06,36.13,35.81,36.05,1607899
2017-01-24,36.08,36.31,35.68,35.82,1647208
2017-01-25,35.78,35.89,35.24,35.26,1615609
2017-01-26,35.39,35.47,34.99,35.01,1951585
2017-01-27,35.21,35.23,34.68,34.92,1825545
2017-01-30,35.61,35.61,34.58,34.65,2128552
2017-01-31,34.83,35.74,34.83,34.95,3500275
2017-02-01,34.83,35.02,34.44,34.48,2430261
2017-02-02,34.48,35.06,34.48,34.97,2999677
2017-02-03,35.2,35.23,34.51,34.66,2388273
2017-02-06,34.63,34.86,34.41,34.76,1114867
2017-02-07,34.89,35.04,34.65,34.92,1403897
2017-02-08,34.93,35.71,34.83,35.71,2734228
2017-02-09,35.66,35.71,35.36,35.4,1062859
2017-02-10,35.28,35.75,35.18,35.7,766087
2017-02-13,35.72,35.72,34.82,35.31,1718899
2017-02-14,35.26,35.41,34.78,35.36,1212827
2017-02-15,35.21,35.4,34.76,35.26,1160198
2017-02-16,35.11,35.54,35.08,35.47,1164161
2017-02-17,35.63,35.71,35.28,35.59,1183450
2017-02-21,35.44,36.04,35.39,35.95,920765
2017-02-22,36.06,36.12,35.44,35.68,1087597
2017-02-23,35.82,36.27,35.76,36.19,1367501
2017-02-24,36.16,36.24,35.94,36.2,765929
2017-02-27,36.28,36.57,36.22,36.36,796133
2017-02-28,36.38,36.58,36.14,36.5,1577950
2017-03-01,36.21,36.64,36.0,36.44,1500333
2017-03-02,36.43,36.57,36.2,36.38,1286443
2017-03-03,36.22,36.22,35.45,35.9,1751530
2017-03-06,35.77,36.19,35.69,36.14,1189592
