Date,Open,High,Low,Close,Volume
2016-10-04,121.05,121.52,120.28,120.9,653597
2016-10-05,121.39,121.88,119.83,120.08,800697
2016-10-06,119.93,120.44,119.14,119.99,1016631
2016-10-07,120.27,120.54,119.4,120.16,797084
2016-10-10,120.51,122.63,120.51,122.38,755933
2016-10-11,122.08,122.42,119.99,121.09,695918
2016-10-12,121.21,122.69,120.64,121.85,866665
2016-10-13,121.3,125.23,121.21,124.67,1124829
2016-10-14,125.2,125.35,123.3,123.36,947105
2016-10-17,123.22,123.63,122.64,123.46,622481
2016-10-18,124.75,126.29,124.18,125.85,843666
2016-10-19,123.99,124.0,121.52,123.84,1096067
2016-10-20,123.72,124.86,123.26,124.49,442068
2016-10-21,123.81,123.81,122.31,123.56,377418
2016-10-24,124.23,124.74,123.72,124.42,588401
2016-10-25,124.17,125.27,121.56,121.6,921785
2016-10-26,120.88,120.89,118.31,119.09,1382230
2016-10-27,119.32,125.0,117.42,122.35,1656641
2016-10-28,121.94,122.86,118.76,120.53,1708445
2016-10-31,121.01,121.52,119.87,120.71,783449
2016-11-01,121.21,121.37,119.0,120.29,848311
2016-11-02,120.2,122.0,119.98,120.9,691925
2016-11-03,121.17,122.79,118.39,118.65,650338
2016-11-04,119.09,121.31,118.9,120.35,492473
2016-11-07,122.52,126.3,122.5,124.89,1383158
2016-11-08,124.49,129.21,123.93,128.06,945139
2016-11-09,111.0,120.22,105.35,119.26,3560726
2016-11-10,122.46,122.46,119.77,121.0,1471522
2016-11-11,120.38,120.93,117.56,118.74,1181804
2016-11-14,119.15,122.62,119.06,121.15,1032652
2016-11-15,121.79,122.59,120.37,122.4,704252
2016-11-16,121.63,122.63,119.17,120.1,883153
2016-11-17,120.33,124.13,120.01,123.89,773195
2016-11-18,123.8,125.32,122.33,122.66,635853
2016-11-21,122.62,124.58,122.42,123.06,528100
2016-11-22,123.1,123.48,120.78,121.28,627401
2016-11-23,120.19,122.36,120.05,122.08,341512
2016-11-25,122.51,123.46,122.42,123.17,166360
2016-11-28,122.65,123.06,121.69,122.75,578418
2016-11-29,122.2,123.73,121.98,123.18,398354
2016-11-30,122.96,123.54,121.84,123.02,773126
2016-12-01,123.28,126.55,123.06,124.09,851103
2016-12-02,124.63,128.08,123.4,124.65,933297
2016-12-05,124.98,125.68,122.31,124.78,929309
2016-12-06,125.35,126.52,124.94,126.37,666387
2016-12-07,126.87,127.94,109.7,111.36,5206586
2016-12-08,116.46,116.46,109.38,112.48,5883920
2016-12-09,112.48,113.11,109.25,112.07,2668152
2016-12-12,112.5,113.0,110.73,111.98,1491986
2016-12-13,112.39,112.44,107.87,108.99,2303259
2016-12-14,107.16,107.88,99.72,101.55,7245997
2016-12-15,102.51,108.9,102.13,108.57,3310953
2016-12-16,108.7,109.8,106.65,107.08,2349993
2016-12-19,106.81,107.85,105.69,106.64,1099051
2016-12-20,107.1,107.44,106.22,106.37,741356
2016-12-21,106.58,107.25,105.6,106.75,685921
2016-12-22,106.85,107.78,106.1,106.82,735647
2016-12-23,107.25,108.47,106.49,107.93,789193
2016-12-27,108.1,109.02,106.81,107.17,387820
2016-12-28,107.72,108.26,106.11,106.14,659601
2016-12-29,106.08,107.01,105.08,106.4,548829
2016-12-30,106.41,107.06,105.73,106.38,576967
2017-01-03,106.81,107.86,105.22,106.71,990280
2017-01-04,107.33,109.2,106.35,108.81,991397
2017-01-05,108.16,109.45,107.23,108.77,1169118
2017-01-06,109.06,109.31,107.71,108.51,728797
2017-01-09,108.65,111.73,108.53,111.54,1090980
2017-01-10,111.55,112.93,111.34,112.34,886071
2017-01-11,112.13,112.79,110.63,112.13,448610
2017-01-12,111.97,112.58,110.64,112.4,665962
2017-01-13,112.03,113.0,111.84,112.67,459340
2017-01-17,112.73,114.98,111.77,114.3,791178
2017-01-18,114.63,114.63,113.06,113.6,493144
2017-01-19,113.03,113.87,111.6,111.75,644207
2017-01-20,111.94,112.96,111.78,112.75,467013
2017-01-23,112.24,112.24,109.88,111.43,757359
2017-01-24,111.79,112.36,110.86,112.23,430109
2017-01-25,112.26,114.42,112.26,114.0,1133566
2017-01-26,113.71,114.66,112.84,113.11,510902
2017-01-27,113.56,113.56,112.16,112.93,440787
2017-01-30,112.95,113.02,111.02,112.75,667691
2017-01-31,113.05,113.4,111.48,112.63,758730
2017-02-01,113.13,114.48,112.39,113.94,724930
2017-02-02,113.65,113.86,112.35,112.75,622442
2017-02-03,113.2,114.35,113.14,113.85,734388
2017-02-06,114.11,114.53,112.82,112.9,344389
2017-02-07,113.22,114.53,111.96,113.39,1050304
2017-02-08,113.0,113.91,112.41,113.78,510308
2017-02-09,113.66,116.28,113.66,116.27,795856
2017-02-10,116.14,116.74,116.01,116.45,659171
2017-02-13,116.87,117.96,116.63,117.88,713109
2017-02-14,117.73,121.48,117.51,121.3,1508943
2017-02-15,121.0,122.47,120.7,122.41,856142
2017-02-16,122.18,122.71,121.33,122.13,679017
2017-02-17,121.36,122.97,121.17,122.95,605083
2017-02-21,123.1,125.03,123.1,124.65,735199
2017-02-22,124.48,124.48,123.46,123.75,563070
2017-02-23,124.03,124.78,123.8,124.55,337828
2017-02-24,124.7,126.08,123.72,125.98,723164
2017-02-27,125.5,126.98,124.99,126.65,657483
2017-02-28,125.62,126.32,124.7,125.6,1014609
2017-03-01,128.81,129.74,125.46,125.56,1521625
2017-03-02,124.74,125.15,122.6,122.83,833738
2017-03-03,123.04,125.6,122.86,125.58,791531
2017-03-06,125.65,127.14,125.18,126.56,1082570
2017-03-07,125.53,125.96,122.97,123.75,834110
2017-03-08,123.89,124.81,123.42,123.81,507116
2017-03-09,123.86,125.06,122.66,123.94,703888
2017-03-10,123.82,124.09,121.28,121.82,855287
2017-03-13,122.1,122.53,121.11,121.98,524997
2017-03-14,120.75,121.16,119.3,120.05,789090
2017-03-15,120.28,121.82,120.05,121.47,638690
2017-03-16,121.76,121.76,119.23,120.7,449579
2017-03-17,120.95,121.1,119.56,120.08,821020
2017-03-20,120.24,120.62,118.76,119.5,471136
2017-03-21,119.63,120.28,117.8,118.07,726430
2017-03-22,118.38,118.98,117.51,118.72,534454
2017-03-23,118.78,120.24,118.5,118.83,628786
2017-03-24,119.57,122.89,119.29,121.89,1428421
2017-03-27,122.62,128.49,122.62,125.97,2173204
2017-03-28,125.34,125.73,123.28,125.47,1355678
2017-03-29,125.09,125.99,124.43,124.56,619794
2017-03-30,124.15,126.25,123.78,125.66,585206
2017-03-31,125.6,126.08,124.17,124.45,782081
2017-04-03,124.66,125.36,123.99,125.07,581238
2017-04-04,124.93,125.07,121.85,123.04,874779
2017-04-05,123.62,126.49,123.24,123.65,595471
2017-04-06,123.65,124.13,122.41,123.98,411870
2017-04-07,123.82,123.84,122.63,123.26,320612
2017-04-10,123.09,123.98,122.63,123.45,453698
2017-04-11,122.78,123.41,120.67,122.87,702817
2017-04-12,123.14,123.31,121.68,123.06,280612
2017-04-13,123.28,123.28,121.67,121.81,382156
2017-04-17,121.01,122.03,120.56,122.0,407173
2017-04-18,121.6,122.0,117.25,119.89,1396395
2017-04-19,120.33,120.99,119.95,120.09,496079
2017-04-20,120.0,120.0,116.85,119.13,1164403
2017-04-21,119.01,119.31,118.16,118.84,468811
2017-04-24,120.22,121.11,119.71,120.9,564769
2017-04-25,121.18,121.93,120.53,121.42,781192
2017-04-26,120.52,123.41,116.29,118.47,1502537
2017-04-27,118.66,119.35,117.88,118.21,678419
2017-04-28,118.19,120.87,118.19,120.76,761648
2017-05-01,120.72,121.4,119.9,120.44,604501
2017-05-02,120.9,125.4,120.9,124.4,1050651
2017-05-03,124.36,125.5,122.59,123.71,1175991
2017-05-04,123.18,123.91,121.27,122.5,1683289
2017-05-05,122.72,122.9,121.45,121.99,656739
2017-05-08,121.98,122.69,120.77,121.32,624224
2017-05-09,121.45,123.23,121.39,122.5,509608
2017-05-10,122.45,123.98,122.39,123.61,428149
2017-05-11,123.11,123.74,121.56,122.83,467861
2017-05-12,122.72,122.95,121.38,122.29,281441
2017-05-15,121.96,122.77,121.47,121.85,474021
2017-05-16,122.55,122.77,120.82,120.86,269756
2017-05-17,120.21,121.0,118.6,118.6,536960
2017-05-18,118.66,119.32,118.28,118.42,603369
2017-05-19,119.47,119.76,118.28,118.68,518968
2017-05-22,118.46,120.19,118.46,119.88,438072
2017-05-23,120.02,120.44,118.67,118.84,291752
2017-05-24,117.15,117.64,115.0,116.06,1423555
2017-05-25,116.56,117.95,116.23,117.31,585637
2017-05-26,117.52,117.52,115.44,116.07,579264
2017-05-30,116.0,116.23,115.1,115.13,537204
2017-05-31,115.07,115.17,113.12,113.66,911826
2017-06-01,113.85,116.17,113.84,115.8,771840
2017-06-02,116.12,116.61,113.64,114.15,696849
2017-06-05,113.87,115.33,113.57,114.84,684457
2017-06-06,114.86,115.0,113.39,113.5,506816
2017-06-07,113.38,114.51,112.22,112.94,552248
2017-06-08,112.91,113.26,110.5,112.33,1020132
2017-06-09,112.08,113.68,111.85,113.43,573377
2017-06-12,113.46,116.27,113.46,115.59,997855
2017-06-13,116.2,116.81,115.47,115.84,635352
2017-06-14,116.52,117.0,115.55,116.89,440576
2017-06-15,116.89,117.18,114.93,116.03,473539
2017-06-16,116.15,116.35,114.65,115.07,880246
2017-06-19,114.97,115.96,113.96,115.52,989364
2017-06-20,115.22,115.63,114.0,114.13,576008
2017-06-21,114.53,115.38,112.49,113.22,726720
2017-06-22,113.23,116.54,112.93,115.21,841696
2017-06-23,115.64,115.79,114.36,115.43,1087706
2017-06-26,115.6,116.93,115.08,115.88,379971
2017-06-27,115.87,118.8,115.87,118.04,900027
2017-06-28,118.7,121.49,118.65,120.42,970253
2017-06-29,120.63,122.53,119.81,121.88,1123663
2017-06-30,122.32,122.6,120.98,122.08,698703
2017-07-03,122.34,122.44,121.45,121.54,314311
2017-07-05,121.71,122.51,121.28,122.32,509153
2017-07-06,121.64,121.79,119.35,119.74,511945
2017-07-07,120.26,122.23,119.55,122.04,675520
2017-07-10,121.79,122.12,120.57,121.75,472324
2017-07-11,121.87,122.53,121.13,122.14,559845
2017-07-12,122.85,123.44,122.19,122.81,715579
2017-07-13,123.1,123.52,122.05,123.07,588393
2017-07-14,122.95,124.25,121.02,124.16,409390
2017-07-17,124.12,124.54,123.05,124.1,710873
2017-07-18,124.45,124.64,122.6,123.46,524611
2017-07-19,123.37,124.31,122.98,123.68,550749
2017-07-20,123.73,126.1,123.64,125.0,865037
2017-07-21,124.82,125.1,124.0,124.42,443517
2017-07-24,124.39,124.99,123.91,124.33,663512
2017-07-25,123.4,124.22,120.71,122.9,1195775
2017-07-26,118.84,118.84,111.17,112.88,3511053
2017-07-27,111.93,112.43,109.72,110.36,1496122
2017-07-28,110.35,112.11,109.7,111.5,1413262
2017-07-31,,,109.26,110.83,981069
2017-08-01,110.88,112.67,110.88,111.18,1142395
2017-08-02,110.87,111.05,108.42,108.64,1043603
2017-08-03,108.5,109.31,107.76,108.38,840840
