Date,Open,High,Low,Close,Volume
2016-10-04,237.73,239.22,236.77,238.55,809983
2016-10-05,237.84,239.6,235.54,235.6,596322
2016-10-06,235.6,242.7,235.1,241.57,1286429
2016-10-07,242.61,242.62,237.86,239.07,613687
2016-10-10,241.65,242.0,239.34,240.36,433051
2016-10-11,240.21,240.58,235.59,236.66,609575
2016-10-12,237.18,240.49,236.63,238.97,556372
2016-10-13,246.35,266.74,245.25,266.14,4768570
2016-10-14,268.03,268.78,262.59,262.75,1699655
2016-10-17,262.5,263.33,257.54,258.72,1198086
2016-10-18,260.62,261.49,255.72,256.04,710530
2016-10-19,255.84,256.67,252.84,256.45,477386
2016-10-20,255.45,257.55,254.0,254.43,407509
2016-10-21,253.18,253.6,251.55,252.36,518629
2016-10-24,253.23,253.66,251.09,252.25,721218
2016-10-25,250.67,250.69,246.69,246.99,779883
2016-10-26,246.59,248.86,245.76,245.92,620605
2016-10-27,245.89,248.14,239.44,239.86,814027
2016-10-28,239.86,244.35,239.42,242.31,579657
2016-10-31,243.49,244.29,240.72,243.34,512979
2016-11-01,242.82,243.68,238.76,240.18,478862
2016-11-02,239.8,241.77,239.0,239.29,390477
2016-11-03,238.82,239.55,229.76,231.61,966416
2016-11-04,229.94,233.53,227.33,228.17,942330
2016-11-07,231.76,232.9,225.13,232.59,1203565
2016-11-08,233.27,233.71,230.02,232.63,656202
2016-11-09,226.64,237.31,226.51,236.34,1058564
2016-11-10,238.27,240.79,234.87,236.61,1129819
2016-11-11,235.4,239.84,234.56,238.87,698174
2016-11-14,240.35,244.51,239.31,240.41,1252255
2016-11-15,241.38,245.21,239.75,244.47,904578
2016-11-16,244.48,248.09,242.57,246.62,788398
2016-11-17,247.78,251.31,246.12,251.13,886025
2016-11-18,251.05,252.65,248.46,250.09,468809
2016-11-21,251.09,252.09,249.05,251.0,741799
2016-11-22,252.54,259.81,252.54,258.39,1208204
2016-11-23,259.29,262.92,258.06,262.02,836083
2016-11-25,263.56,264.67,261.0,263.62,383717
2016-11-28,263.57,265.38,261.0,261.6,841059
2016-11-29,261.33,262.37,260.0,260.41,748682
2016-11-30,259.68,262.27,256.54,259.5,1014454
2016-12-01,259.85,261.42,257.12,257.41,1412809
2016-12-02,271.7,273.99,244.75,253.39,4415669
2016-12-05,253.49,260.95,252.4,257.6,1678035
2016-12-06,256.93,257.15,251.74,254.22,1165179
2016-12-07,254.01,255.65,251.08,253.94,704035
2016-12-08,254.57,256.63,253.17,253.29,736032
2016-12-09,252.68,253.45,249.83,251.14,647089
2016-12-12,250.02,251.61,248.55,251.61,761382
2016-12-13,252.0,257.21,251.58,255.02,710148
2016-12-14,254.42,254.9,251.25,252.93,630423
2016-12-15,253.2,258.18,252.42,256.69,602295
2016-12-16,257.8,266.57,257.8,262.13,1577571
2016-12-19,262.13,263.87,259.04,259.97,774213
2016-12-20,259.8,262.55,259.12,260.89,495366
2016-12-21,260.29,263.35,258.2,262.95,628947
2016-12-22,263.1,264.0,256.36,257.31,744872
2016-12-23,257.25,258.46,255.83,256.86,335656
2016-12-27,257.99,260.4,257.68,258.73,407693
2016-12-28,258.9,259.47,254.25,255.75,435338
2016-12-29,254.91,258.21,254.91,257.34,330486
2016-12-30,258.16,258.16,253.62,254.94,399163
2017-01-03,256.2,260.58,255.61,256.68,662200
2017-01-04,257.08,261.83,257.08,260.92,678325
2017-01-05,259.84,266.06,258.42,264.14,1279511
2017-01-06,264.64,266.8,262.28,263.3,710515
2017-01-09,263.18,265.31,259.53,260.79,433499
2017-01-10,260.98,264.14,260.78,262.5,431410
2017-01-11,262.5,264.38,260.42,262.15,393142
2017-01-12,262.03,262.07,259.0,260.95,403566
2017-01-13,260.74,262.25,259.71,261.4,409688
2017-01-17,260.95,264.88,259.5,263.06,412236
2017-01-18,264.04,265.71,261.75,265.5,638735
2017-01-19,265.76,267.96,264.98,266.12,829213
2017-01-20,267.13,267.22,265.34,266.22,634686
2017-01-23,265.9,266.42,263.81,266.02,446516
2017-01-24,266.43,269.12,265.55,268.81,501149
2017-01-25,269.97,272.52,268.73,272.01,654943
2017-01-26,271.89,273.99,271.18,272.42,503707
2017-01-27,272.36,272.36,270.12,271.44,365536
2017-01-30,270.76,271.42,267.25,270.18,680866
2017-01-31,270.17,273.17,266.4,272.28,820936
2017-02-01,272.38,273.75,269.24,269.54,443158
2017-02-02,268.85,271.04,267.25,270.75,462881
2017-02-03,272.0,274.75,270.6,272.06,442797
2017-02-06,272.31,274.75,271.22,273.08,721736
2017-02-07,273.05,274.28,271.63,272.49,427963
2017-02-08,272.54,272.99,271.08,272.82,444062
2017-02-09,273.75,273.95,272.08,272.87,492101
2017-02-10,273.04,273.47,269.31,269.84,671380
2017-02-13,270.8,271.3,267.75,268.12,613411
2017-02-14,268.2,271.49,267.77,271.46,620953
2017-02-15,270.99,273.87,270.45,273.64,520093
2017-02-16,273.6,273.98,271.0,272.09,395892
2017-02-17,271.96,276.33,270.71,275.15,449624
2017-02-21,275.95,278.45,275.58,277.26,505487
