Date,Open,High,Low,Close,Volume
2016-10-04,42.74,43.15,42.5,42.85,8364680
2016-10-05,43.06,43.81,43.02,43.65,6858522
2016-10-06,43.75,44.0,43.45,43.89,12170205
2016-10-07,43.89,43.96,43.39,43.7,6560314
2016-10-10,43.92,43.99,43.67,43.8,4797371
2016-10-11,43.79,43.84,43.06,43.29,6334699
2016-10-12,43.36,43.68,43.28,43.4,4025201
2016-10-13,43.01,43.01,42.37,42.88,6522003
2016-10-14,43.32,43.44,42.72,42.85,5785382
2016-10-17,42.88,43.06,42.52,42.72,6288114
2016-10-18,43.14,43.2,42.83,43.01,6297949
2016-10-19,44.19,44.19,42.85,43.58,10319343
2016-10-20,43.59,44.09,43.52,43.95,8553044
2016-10-21,43.59,43.89,43.5,43.85,6422391
2016-10-24,44.08,44.15,43.94,44.02,4919544
2016-10-25,43.96,44.17,43.78,43.84,5589554
2016-10-26,43.72,44.37,43.7,44.23,6012469
2016-10-27,44.43,45.14,44.38,44.7,12715565
2016-10-28,44.79,44.9,44.39,44.64,8548425
2016-10-31,44.82,44.96,44.69,44.76,7262159
2016-11-01,44.88,45.0,44.1,44.46,9440337
2016-11-02,44.24,44.33,43.92,44.0,7793969
2016-11-03,44.01,44.48,43.92,44.05,5532838
2016-11-04,44.15,44.4,43.82,43.93,6284059
2016-11-07,44.66,44.93,44.65,44.92,6908844
2016-11-08,44.78,45.09,44.59,44.98,4516325
2016-11-09,45.45,46.93,45.13,46.67,14953341
2016-11-10,47.05,48.5,46.98,47.61,17493969
2016-11-11,47.57,47.96,47.42,47.9,9661099
2016-11-14,48.07,48.75,47.81,48.73,15228080
2016-11-15,48.26,48.73,48.04,48.7,13446676
2016-11-16,47.59,48.39,47.59,47.87,10900937
2016-11-17,48.1,48.77,47.98,48.68,9369781
2016-11-18,48.74,49.4,48.66,49.23,9090546
2016-11-21,49.32,49.39,49.01,49.28,5184051
2016-11-22,49.27,49.57,48.76,49.03,10580088
2016-11-23,49.3,49.5,49.08,49.35,7054399
2016-11-25,49.36,49.5,49.12,49.42,2631496
2016-11-28,49.14,49.45,48.78,48.9,5887308
2016-11-29,49.12,49.35,49.01,49.1,5726555
2016-11-30,49.57,49.77,49.43,49.62,6887102
2016-12-01,49.81,50.62,49.63,50.39,10571287
2016-12-02,50.35,50.42,49.84,50.0,5864800
2016-12-05,50.41,50.63,50.19,50.36,7209623
2016-12-06,50.53,50.77,50.23,50.73,9259103
2016-12-07,50.74,51.4,50.49,51.36,9558952
2016-12-08,51.56,52.29,51.56,51.9,10423462
2016-12-09,51.9,52.08,51.59,52.04,8612883
2016-12-12,51.89,52.1,51.45,51.58,6113449
