Date,Open,High,Low,Close,Volume
2016-10-04,83.28,83.53,82.58,82.73,5771983
2016-10-05,82.96,83.45,82.9,83.35,6163375
2016-10-06,83.12,83.48,82.88,83.36,7687143
2016-10-07,83.49,83.7,82.64,82.88,8238129
2016-10-10,83.13,83.54,82.94,83.12,7371537
2016-10-11,82.68,82.79,81.57,82.04,6227356
2016-10-12,81.84,82.54,81.82,82.25,3923636
2016-10-13,81.65,82.13,81.11,81.87,6810946
2016-10-14,82.04,83.19,82.04,82.45,6698083
2016-10-17,82.58,82.69,82.04,82.15,8473733
2016-10-18,81.5,82.37,81.35,81.58,11680407
2016-10-19,81.65,82.87,81.65,82.81,8440945
2016-10-20,83.05,83.1,82.17,82.5,6945209
2016-10-21,82.02,82.54,81.58,82.35,8043196
2016-10-24,83.27,83.59,82.71,83.17,16266997
2016-10-25,82.15,82.99,81.7,82.03,15085850
2016-10-26,81.62,82.26,81.41,81.75,8748420
2016-10-27,81.96,82.27,81.61,81.92,7039234
2016-10-28,82.52,83.36,82.11,82.22,10919564
2016-10-31,82.44,82.9,82.36,82.51,10024036
2016-11-01,82.64,82.69,81.33,81.62,10881514
2016-11-02,80.89,81.38,80.52,80.58,9170944
2016-11-03,80.75,81.13,80.54,80.65,7563109
2016-11-04,80.65,81.24,80.32,80.36,7588118
2016-11-07,81.64,82.53,81.45,82.51,7277898
2016-11-08,82.39,83.16,82.15,82.88,7151960
2016-11-09,81.81,83.3,81.22,83.24,12158464
2016-11-10,83.3,83.96,81.42,81.87,17171681
2016-11-11,81.59,82.63,81.52,81.88,7367994
2016-11-14,82.02,82.22,77.3,78.38,21773523
2016-11-15,78.23,79.54,77.8,78.57,18523447
2016-11-16,78.79,80.19,78.76,80.08,9997671
2016-11-17,80.32,81.2,80.18,81.07,7863718
2016-11-18,81.15,81.5,80.53,80.82,7920808
2016-11-21,81.23,81.78,80.9,81.69,8942057
2016-11-22,81.69,81.69,79.26,79.93,18133893
2016-11-23,79.98,79.99,78.95,79.57,12861961
2016-11-25,79.99,80.37,79.74,80.13,6495826
2016-11-28,79.66,80.01,79.05,79.08,11793084
2016-11-29,79.12,79.58,78.95,79.15,8575239
2016-11-30,79.45,79.45,77.28,77.32,15353872
2016-12-01,77.57,77.62,75.25,75.43,21052986
2016-12-02,75.4,76.25,75.17,75.72,13629619
2016-12-05,76.63,77.6,76.55,77.31,12119198
2016-12-06,77.94,77.97,76.71,77.11,13896640
2016-12-07,77.27,79.49,77.25,79.31,13919763
2016-12-08,79.68,79.87,78.97,79.28,13320094
2016-12-09,79.15,79.93,78.83,79.14,10728310
