Date,Open,High,Low,Close,Volume
2016-10-04,110.84,111.11,109.35,110.84,1387376
2016-10-05,111.57,111.94,108.9,109.35,1447798
2016-10-06,109.31,111.6,108.96,111.28,1420503
2016-10-07,111.01,111.24,106.14,106.47,2746341
2016-10-10,107.72,108.76,107.1,107.23,1180563
2016-10-11,106.98,107.56,106.02,106.71,1017998
2016-10-12,106.72,107.59,106.0,107.41,1130592
2016-10-13,105.98,108.88,105.71,108.77,989543
2016-10-14,109.66,110.22,109.27,109.77,1082327
2016-10-17,110.1,113.28,109.6,112.59,1841307
2016-10-18,114.06,114.27,111.55,111.62,930997
2016-10-19,112.11,112.11,109.19,110.43,945875
2016-10-20,110.34,110.9,108.37,110.14,727024
2016-10-21,109.18,111.69,109.01,111.53,777947
2016-10-24,112.07,112.88,111.39,112.47,442656
2016-10-25,112.56,112.73,110.76,110.83,686228
2016-10-26,111.93,112.94,110.23,112.2,1059955
2016-10-27,112.2,112.39,110.62,111.84,681372
2016-10-28,112.07,114.55,111.71,112.57,1137317
2016-10-31,113.22,114.37,112.8,113.2,1010952
2016-11-01,113.8,117.2,113.8,115.6,1618143
2016-11-02,115.64,116.14,112.31,112.56,1552752
2016-11-03,112.97,114.74,111.06,114.12,1647472
2016-11-04,114.68,118.55,114.34,116.75,1605624
2016-11-07,118.63,119.58,117.68,118.4,1473552
2016-11-08,118.49,120.11,118.06,119.73,1384791
2016-11-09,128.33,136.8,128.06,131.55,5374651
2016-11-10,132.45,138.18,131.83,136.04,2617985
2016-11-11,135.44,135.89,132.78,134.18,2286798
2016-11-14,135.09,135.48,132.46,134.8,3275200
2016-11-15,134.22,136.12,133.66,134.66,1772695
2016-11-16,131.68,131.9,129.72,130.29,2448766
2016-11-17,129.66,130.38,127.2,129.88,1685625
2016-11-18,129.22,130.23,128.07,128.2,1415767
2016-11-21,128.77,130.01,127.69,128.08,1208581
2016-11-22,128.99,129.2,127.22,128.0,1143580
2016-11-23,127.83,129.79,126.35,129.66,1331116
2016-11-25,130.0,132.1,130.0,132.07,690415
2016-11-28,132.18,132.18,124.44,124.59,3326282
2016-11-29,124.66,126.71,124.45,126.13,1509822
2016-11-30,127.15,128.08,125.63,125.65,1333210
2016-12-01,125.87,127.08,124.64,125.5,1590690
2016-12-02,125.32,127.59,125.0,127.06,1029145
2016-12-05,126.95,128.34,125.92,127.5,1218951
2016-12-06,127.9,128.76,127.09,128.43,746528
2016-12-07,128.55,130.34,127.69,129.92,1260850
2016-12-08,130.4,130.75,127.96,129.1,1421027
2016-12-09,128.97,129.43,126.79,128.51,1054215
2016-12-12,128.26,128.61,124.78,125.05,1340774
2016-12-13,125.73,127.44,124.8,125.43,1355434
2016-12-14,125.4,126.96,123.67,124.72,1348620
2016-12-15,125.18,125.92,123.36,123.93,898509
