Date,Open,High,Low,Close,Volume
2016-10-04,51.77,51.94,51.0,51.26,13753265
2016-10-05,50.69,50.82,50.03,50.27,17190908
2016-10-06,50.32,50.52,49.97,50.26,11723980
2016-10-07,50.46,50.54,49.92,49.92,13816797
2016-10-10,50.23,50.3,49.63,50.19,10687665
2016-10-11,50.1,50.21,49.65,49.9,11737902
2016-10-12,49.96,50.48,49.94,50.3,8880127
2016-10-13,50.23,50.41,49.82,50.29,11156909
2016-10-14,50.34,50.61,50.27,50.28,8853208
2016-10-17,50.21,50.59,50.05,50.43,10724558
2016-10-18,50.61,50.61,50.05,50.27,10873857
2016-10-19,50.45,50.63,50.35,50.38,10364936
2016-10-20,49.54,49.57,48.9,49.14,27098224
2016-10-21,48.79,48.92,47.95,48.2,24784972
2016-10-24,48.71,48.93,48.13,48.21,19414749
2016-10-25,48.2,48.29,47.78,47.84,16441160
2016-10-26,47.74,48.05,47.58,47.63,15049207
2016-10-27,47.74,48.7,47.63,48.54,22330679
2016-10-28,48.56,48.77,48.1,48.21,10660111
2016-10-31,48.24,48.3,48.05,48.1,12459394
2016-11-01,48.32,48.38,47.53,47.66,13229438
2016-11-02,47.75,47.75,46.86,46.94,16488191
2016-11-03,46.98,47.27,46.79,46.87,12605073
2016-11-04,46.97,47.28,46.89,47.08,14410194
2016-11-07,47.39,47.47,46.94,47.46,14705231
2016-11-08,47.56,47.85,47.46,47.65,9482397
2016-11-09,47.01,48.08,46.47,47.86,20871873
2016-11-10,47.86,47.88,46.36,46.69,24311742
2016-11-11,46.7,46.9,46.51,46.69,16425481
2016-11-14,46.71,46.85,46.01,46.18,21820205
2016-11-15,46.51,47.37,46.38,47.37,18672172
2016-11-16,47.49,47.98,47.32,47.93,17328411
2016-11-17,47.95,48.17,47.81,47.84,12436332
2016-11-18,47.85,48.2,47.56,48.07,12820589
2016-11-21,48.06,48.36,47.92,48.31,10773257
2016-11-22,48.56,49.61,48.37,49.49,22030008
2016-11-23,49.3,50.65,49.29,50.23,21470215
2016-11-25,50.22,50.8,50.17,50.67,8087235
2016-11-28,50.47,51.2,50.45,51.12,15982434
2016-11-29,51.03,51.15,50.77,50.96,11532765
2016-11-30,50.55,50.73,49.9,49.9,20698891
2016-12-01,49.8,49.99,49.31,49.87,12982813
2016-12-02,50.0,50.32,49.6,49.81,10650716
2016-12-05,49.74,50.08,49.74,49.75,13074713
2016-12-06,50.15,50.62,49.76,50.36,13581523
2016-12-07,50.72,51.43,50.44,51.38,16280568
2016-12-08,51.23,51.28,50.98,51.13,11502897
2016-12-09,51.09,51.63,50.92,51.49,10101462
2016-12-12,51.54,52.43,51.48,51.76,16186418
2016-12-13,52.08,52.37,52.06,52.36,12211522
2016-12-14,52.46,52.66,51.4,51.63,19920424
2016-12-15,51.37,52.12,51.24,51.81,13963553
2016-12-16,52.06,52.28,51.86,52.27,21262525
2016-12-19,52.48,53.13,52.09,52.91,13406960
2016-12-20,52.93,53.46,52.93,53.12,10366942
2016-12-21,53.09,53.43,52.97,52.97,9656718
2016-12-22,52.85,53.74,52.72,53.65,11101456
2016-12-23,53.65,53.75,53.44,53.68,7201173
2016-12-27,53.69,53.83,53.44,53.64,6255400
2016-12-28,53.63,53.83,53.37,53.44,6849472
2016-12-29,53.59,53.9,53.51,53.74,7150762
2016-12-30,53.55,53.64,53.17,53.38,12440847
2017-01-03,53.96,54.67,53.73,54.58,22891725
2017-01-04,54.55,54.81,54.33,54.52,18316075
2017-01-05,54.78,54.83,54.3,54.64,13840590
2017-01-06,53.67,53.78,53.1,53.26,15615037
2017-01-09,53.22,53.26,52.67,52.68,14097190
2017-01-10,52.69,53.16,52.02,52.76,11787399
2017-01-11,52.62,52.75,52.24,52.46,16142843
2017-01-12,52.43,52.89,52.26,52.68,11052102
2017-01-13,52.72,52.9,52.41,52.55,9458660
2017-01-17,52.55,52.89,52.5,52.74,11383490
2017-01-18,52.52,52.84,52.21,52.25,12930855
2017-01-19,52.55,52.64,52.18,52.36,13286142
2017-01-20,52.6,53.2,52.56,52.72,15473748
2017-01-23,52.46,52.7,52.18,52.41,15695475
2017-01-24,50.26,50.79,49.79,50.12,43484680
2017-01-25,49.5,49.94,48.84,49.77,30398594
2017-01-26,48.75,49.47,48.51,49.12,37877112
2017-01-27,49.35,49.73,49.27,49.6,18369275
2017-01-30,49.49,49.84,49.18,49.37,12148701
2017-01-31,49.21,49.47,48.93,49.01,16844160
2017-02-01,49.34,49.37,48.25,48.39,26004051
2017-02-02,48.54,48.59,47.9,48.28,17787157
2017-02-03,48.45,48.62,48.33,48.58,15166438
2017-02-06,48.67,48.67,47.94,48.03,16151442
2017-02-07,48.13,48.16,47.8,48.04,12771905
2017-02-08,48.15,48.57,48.1,48.37,13962834
2017-02-09,48.52,48.96,48.41,48.81,13577346
2017-02-10,48.94,49.12,48.69,48.98,12317356
2017-02-13,48.27,48.62,48.08,48.55,18305342
2017-02-14,48.31,48.47,47.99,48.27,20847187
2017-02-15,48.0,48.1,47.8,48.08,19297054
2017-02-16,48.03,48.52,47.89,48.46,18706949
2017-02-17,48.31,49.3,48.13,49.19,23190659
2017-02-21,49.51,49.69,49.23,49.43,19205958
2017-02-22,49.5,49.7,49.48,49.67,13653423
2017-02-23,49.98,50.5,49.67,50.31,16211994
2017-02-24,50.28,50.94,50.28,50.6,14357936
2017-02-27,50.49,50.55,49.8,49.94,14029458
2017-02-28,49.96,50.03,49.41,49.63,17699168
2017-03-01,49.56,49.98,49.37,49.81,16095603
2017-03-02,49.69,50.02,49.6,49.98,10773372
2017-03-03,50.05,50.14,49.8,50.09,11075118
2017-03-06,50.03,50.14,49.84,50.03,10827336
2017-03-07,50.0,50.06,49.36,49.44,12896873
2017-03-08,49.3,49.33,48.9,49.16,14206492
2017-03-09,49.23,49.45,49.08,49.28,10590012
2017-03-10,49.5,49.52,49.1,49.35,11181598
2017-03-13,49.33,49.53,49.13,49.47,10488812
2017-03-14,49.44,49.62,49.25,49.36,8496589
2017-03-15,49.26,50.25,49.26,50.14,12660774
2017-03-16,50.02,50.25,49.85,50.04,10861242
2017-03-17,50.19,50.42,50.02,50.39,21071260
2017-03-20,50.42,50.61,50.14,50.24,9455972
2017-03-21,50.48,50.63,50.12,50.16,15196517
2017-03-22,50.13,50.28,49.4,49.71,14950443
