Date,Open,High,Low,Close,Volume
2016-10-04,67.13,67.32,66.75,66.82,877523
2016-10-05,66.91,67.41,66.82,66.96,564869
2016-10-06,66.97,67.22,66.4,67.05,782540
2016-10-07,67.63,67.63,66.62,66.94,917745
2016-10-10,67.26,68.37,67.26,67.9,754033
2016-10-11,67.62,68.08,67.0,67.5,1187521
2016-10-12,67.61,68.19,67.42,67.63,1106497
2016-10-13,65.5,67.6,64.65,67.2,2082560
2016-10-14,67.73,68.15,67.26,67.77,972093
2016-10-17,67.67,67.93,67.23,67.35,511025
2016-10-18,67.94,68.44,67.9,68.22,468831
2016-10-19,68.5,69.02,68.38,68.6,646206
2016-10-20,68.54,68.77,67.84,68.65,561228
2016-10-21,68.26,68.29,67.7,67.89,649383
2016-10-24,69.12,69.38,67.98,68.0,943995
2016-10-25,67.72,68.85,67.27,67.86,1649643
2016-10-26,65.91,65.97,63.2,63.32,3428130
2016-10-27,63.5,64.27,62.6,64.19,1914596
2016-10-28,64.34,65.41,64.14,64.98,1484904
2016-10-31,65.34,66.16,65.32,65.84,1041555
2016-11-01,66.12,66.17,65.14,65.39,1055064
2016-11-02,65.4,65.81,64.72,65.04,1268328
2016-11-03,65.45,65.59,64.36,64.4,1354678
2016-11-04,64.54,65.02,64.18,64.24,1213986
2016-11-07,65.45,66.49,65.27,66.41,1152528
2016-11-08,66.08,67.48,65.59,67.26,1021778
2016-11-09,66.14,68.47,65.48,68.05,885500
2016-11-10,68.6,69.8,68.35,68.94,1147621
2016-11-11,68.87,69.54,68.61,69.47,752681
2016-11-14,69.8,71.82,69.76,71.65,1571986
2016-11-15,71.75,71.83,70.91,71.62,1226522
2016-11-16,71.3,72.18,71.09,71.25,1209750
2016-11-17,71.25,72.5,71.25,72.47,796982
2016-11-18,72.44,72.81,72.05,72.26,819747
2016-11-21,72.36,73.3,72.3,73.19,772250
2016-11-22,73.31,74.44,73.17,74.33,842929
2016-11-23,73.66,74.54,73.66,74.51,880916
2016-11-25,74.65,74.69,74.17,74.2,432366
2016-11-28,73.91,73.97,72.13,73.0,1546991
2016-11-29,73.21,73.62,72.76,72.86,742577
2016-11-30,72.97,73.14,71.87,71.99,1019197
2016-12-01,72.4,73.84,72.12,73.84,1150637
2016-12-02,73.51,73.51,72.27,72.32,929503
2016-12-05,72.84,74.0,72.84,73.96,1121993
2016-12-06,74.19,75.21,74.03,75.09,1010689
2016-12-07,75.33,77.01,74.93,76.93,867944
2016-12-08,76.93,78.02,76.38,77.21,1917778
2016-12-09,77.4,78.0,77.0,77.87,710082
2016-12-12,77.83,77.94,76.73,77.2,698639
2016-12-13,77.5,77.93,76.8,76.92,691580
2016-12-14,77.06,78.18,76.43,76.89,1039199
2016-12-15,77.31,78.12,76.69,76.76,1017291
2016-12-16,77.17,77.73,76.89,77.55,1465954
2016-12-19,77.55,77.97,77.25,77.48,574795
2016-12-20,77.59,77.91,77.04,77.49,811679
2016-12-21,77.51,78.15,77.46,77.88,492463
2016-12-22,77.85,77.98,76.84,77.23,655660
2016-12-23,77.06,77.35,76.83,77.23,337062
2016-12-27,77.38,77.76,76.93,77.12,361836
2016-12-28,77.3,77.3,76.36,76.55,426522
2016-12-29,76.83,77.0,76.47,76.72,450956
2016-12-30,76.85,76.96,76.18,76.37,524639
2017-01-03,77.1,77.43,75.36,75.95,1050886
2017-01-04,76.36,76.91,76.07,76.3,1367517
2017-01-05,76.23,77.03,75.9,76.47,993576
2017-01-06,76.48,77.36,75.99,76.88,735682
2017-01-09,76.59,77.2,76.32,76.78,727506
2017-01-10,76.79,77.33,76.48,76.93,697536
2017-01-11,76.89,77.84,76.82,77.54,588808
2017-01-12,77.25,77.71,76.72,76.76,1259436
2017-01-13,76.92,77.43,76.77,77.3,528739
2017-01-17,77.13,77.25,75.8,75.93,750314
2017-01-18,76.4,77.24,76.1,77.15,808386
2017-01-19,77.41,78.48,77.35,77.79,1252412
2017-01-20,77.99,79.17,77.99,78.2,1236834
2017-01-23,78.18,78.61,77.87,78.61,686725
2017-01-24,78.67,79.61,78.3,79.2,726461
2017-01-25,79.44,80.15,79.2,79.83,757028
2017-01-26,79.89,80.66,79.86,80.33,880312
2017-01-27,80.46,80.53,79.55,79.72,732174
2017-01-30,79.48,79.69,78.72,79.24,1005970
2017-01-31,78.3,79.2,77.74,79.06,872117
2017-02-01,79.41,79.75,78.78,79.28,650323
2017-02-02,79.05,79.41,78.61,79.17,726527
2017-02-03,79.42,79.96,79.37,79.88,973946
2017-02-06,79.87,80.5,79.75,80.08,742822
2017-02-07,80.29,80.88,80.18,80.5,1069860
2017-02-08,80.25,81.13,80.11,81.05,1018168
2017-02-09,81.19,81.81,81.04,81.65,1162056
2017-02-10,81.78,82.05,81.56,81.77,842868
2017-02-13,82.17,82.28,81.3,81.75,1695406
2017-02-14,81.66,82.57,81.32,81.8,2267176
2017-02-15,81.91,86.15,80.16,85.7,4271558
2017-02-16,85.69,86.72,85.08,85.79,2207449
2017-02-17,85.55,85.63,83.83,84.85,2047255
2017-02-21,84.72,85.43,84.48,85.0,1290760
2017-02-22,84.96,85.1,83.95,84.16,1188973
2017-02-23,84.21,84.47,83.17,83.27,909001
2017-02-24,83.14,83.9,82.77,83.87,1188550
