Date,Open,High,Low,Close,Volume
2016-10-04,40.48,40.48,39.24,39.36,1533316
2016-10-05,39.56,40.12,39.5,39.88,1085735
2016-10-06,39.84,40.16,39.76,40.04,1379400
2016-10-07,40.12,40.28,39.6,39.6,1288721
2016-10-10,39.76,40.04,39.72,39.84,1191218
2016-10-11,39.76,39.84,38.76,39.04,1898210
2016-10-12,39.04,39.32,38.68,39.2,1350437
2016-10-13,38.92,38.96,38.08,38.2,2135506
2016-10-14,38.4,38.84,38.32,38.6,1486259
2016-10-17,38.64,38.82,38.28,38.28,1238770
2016-10-18,38.68,39.0,38.6,38.84,1123815
2016-10-19,38.88,39.16,38.8,38.84,971658
2016-10-20,38.84,38.92,38.36,38.48,1094089
2016-10-21,38.32,38.32,37.88,38.0,1331444
2016-10-24,38.36,38.8,38.24,38.72,1193332
2016-10-25,38.72,38.76,37.92,38.44,1875973
2016-10-26,38.36,38.64,38.26,38.6,1148633
2016-10-27,38.72,38.72,37.96,38.28,1694916
2016-10-28,38.12,39.96,38.08,39.36,3266100
2016-10-31,39.24,39.36,38.32,39.08,2255482
2016-11-01,39.12,39.12,37.76,38.0,1928615
2016-11-02,37.8,38.16,37.68,38.04,1905375
2016-11-03,38.04,38.32,37.36,37.4,1324757
2016-11-04,37.4,37.48,36.6,36.68,2552482
2016-11-07,36.48,37.24,36.44,37.24,2403810
2016-11-08,37.2,37.32,36.38,37.12,2469578
2016-11-09,36.56,38.12,36.36,38.04,2651272
2016-11-10,38.08,38.8,38.04,38.32,2152897
2016-11-11,38.24,38.4,37.8,38.0,2213568
2016-11-14,37.64,38.28,37.64,38.08,2375756
2016-11-15,38.16,38.56,37.88,38.36,1641415
2016-11-16,38.32,38.4,38.12,38.2,1665006
2016-11-17,38.24,38.44,38.0,38.32,2418180
2016-11-18,38.28,38.32,37.72,37.76,1522989
2016-11-21,38.16,38.28,37.84,38.08,1832052
2016-11-22,38.04,38.08,37.16,37.24,2529782
2016-11-23,37.28,37.36,36.88,37.08,2443933
2016-11-25,37.24,37.64,37.16,37.52,928500
2016-11-28,37.6,38.16,37.48,38.0,2131209
2016-11-29,38.0,38.16,37.52,37.84,1622009
2016-11-30,38.0,38.12,37.12,37.4,2938690
2016-12-01,37.56,37.88,37.36,37.8,2847218
2016-12-02,37.8,38.2,37.76,38.0,2583412
2016-12-05,38.2,38.32,37.2,37.28,3103114
2016-12-06,37.36,37.56,36.8,37.2,6450846
2016-12-07,37.28,39.08,37.28,37.92,6753527
2016-12-08,37.92,38.56,37.76,38.08,4727701
2016-12-09,38.08,38.12,37.76,37.84,2709824
2016-12-12,37.64,37.84,36.84,37.2,2651594
2016-12-13,36.96,37.6,36.96,37.2,5123965
2016-12-14,37.12,37.6,35.92,36.0,5424105
2016-12-15,35.96,36.44,35.8,36.12,3544060
2016-12-16,36.16,36.56,36.08,36.52,7337794
2016-12-19,36.56,36.8,36.44,36.52,2001782
2016-12-20,36.68,37.08,36.6,36.92,3505631
2016-12-21,36.28,36.72,36.28,36.36,1843732
2016-12-22,36.32,36.54,35.96,36.04,2429117
2016-12-23,35.96,36.04,35.68,35.8,1488321
2016-12-27,35.8,36.08,35.56,35.76,1268101
2016-12-28,35.72,35.84,34.92,35.04,1739742
2016-12-29,35.16,35.28,34.76,34.88,1802814
2016-12-30,34.88,35.2,34.8,34.92,2812597
2017-01-03,26.12,28.0,25.84,27.56,16111889
2017-01-04,28.16,28.8,27.8,28.6,7687104
2017-01-05,28.64,28.92,27.8,28.48,7060266
2017-01-06,28.56,28.6,27.88,28.04,6171114
2017-01-09,28.28,28.48,27.84,27.88,3802729
2017-01-10,28.44,28.56,28.02,28.12,4547276
2017-01-11,28.28,28.32,27.64,28.0,4137661
2017-01-12,28.08,28.14,27.32,27.76,3730184
2017-01-13,28.0,28.32,27.92,28.2,2520336
2017-01-17,28.16,28.2,27.52,27.72,2641438
2017-01-18,27.76,28.16,27.72,28.08,2988373
2017-01-19,28.04,28.04,27.64,27.76,1971460
2017-01-20,27.8,27.92,27.56,27.76,2102990
2017-01-23,27.72,27.96,27.44,27.56,2370809
2017-01-24,27.64,27.84,27.48,27.76,3037734
2017-01-25,27.88,28.12,27.64,28.0,3321805
2017-01-26,28.08,28.24,27.56,27.84,2284694
2017-01-27,27.88,27.92,27.64,27.92,1914730
2017-01-30,27.88,27.88,27.4,27.8,2665695
2017-01-31,27.76,28.2,26.48,27.72,9476528
2017-02-01,28.12,28.32,27.68,28.28,4594536
2017-02-02,28.04,29.08,27.96,28.68,2811871
2017-02-03,28.8,29.0,28.56,28.6,2044011
2017-02-06,28.4,28.66,28.24,28.28,1829170
2017-02-07,28.32,28.54,28.16,28.28,2801453
2017-02-08,28.36,29.56,28.32,29.44,4427612
2017-02-09,29.6,29.6,28.96,29.04,2131068
2017-02-10,29.24,29.72,29.04,29.2,1779399
2017-02-13,29.32,29.48,29.04,29.04,2667240
2017-02-14,29.0,29.96,29.0,29.92,2413355
2017-02-15,29.92,29.96,29.6,29.88,2710552
2017-02-16,29.92,29.96,29.52,29.6,1500117
2017-02-17,29.52,29.84,29.32,29.76,1615387
2017-02-21,29.52,29.88,29.0,29.76,1646798
2017-02-22,29.68,30.0,29.64,29.84,1705108
2017-02-23,29.88,30.22,29.56,30.12,2083686
2017-02-24,29.92,30.76,29.72,30.16,2439131
2017-02-27,30.12,30.16,29.48,29.76,3069077
2017-02-28,29.76,29.88,29.48,29.76,2962724
2017-03-01,29.92,29.92,29.36,29.56,2429011
2017-03-02,29.64,29.8,29.1,29.16,3329924
2017-03-03,29.28,29.56,29.16,29.44,1447974
2017-03-06,30.48,30.48,29.8,29.8,4469888
2017-03-07,29.84,29.88,29.2,29.44,3998935
2017-03-08,29.52,29.76,29.24,29.76,2405776
2017-03-09,29.64,30.0,29.4,29.52,2166354
2017-03-10,29.52,29.92,29.32,29.44,1715995
2017-03-13,29.48,29.8,29.16,29.24,4489356
2017-03-14,29.36,29.44,28.84,29.28,2008010
2017-03-15,29.4,29.48,29.04,29.16,2817626
2017-03-16,29.24,29.68,29.16,29.64,2635939
2017-03-17,29.56,29.6,29.2,29.44,2803332
2017-03-20,29.52,29.72,29.32,29.72,2229371
2017-03-21,29.72,29.76,28.64,28.8,3353187
2017-03-22,28.84,28.86,28.4,28.72,1771326
2017-03-23,28.72,29.08,28.66,28.8,1497375
2017-03-24,28.92,29.0,28.6,28.76,1679476
2017-03-27,28.56,28.8,28.36,28.56,1914007
2017-03-28,28.56,29.6,28.52,29.36,3037606
2017-03-29,29.08,29.1,28.6,29.08,2313972
2017-03-30,29.04,29.64,29.0,29.52,1519388
2017-03-31,29.52,29.72,29.36,29.36,2170864
2017-04-03,29.44,29.56,28.72,29.0,2123306
2017-04-04,28.88,29.08,28.72,28.84,1550169
2017-04-05,28.96,29.06,28.48,28.64,1901381
2017-04-06,28.68,28.68,28.28,28.52,2014218
2017-04-07,28.48,28.62,28.04,28.48,2833733
2017-04-10,28.48,28.64,28.2,28.32,2090086
2017-04-11,28.32,28.44,28.12,28.32,1394143
2017-04-12,28.36,28.44,28.04,28.12,1351010
