Date,Open,High,Low,Close,Volume
2016-10-04,91.18,91.9,90.23,90.28,4016055
2016-10-05,90.54,90.71,88.31,88.62,9055006
2016-10-06,86.95,87.78,86.5,87.44,8631231
2016-10-07,87.71,87.98,87.15,87.72,6254439
2016-10-10,88.05,88.52,87.33,87.39,4985620
2016-10-11,90.43,90.68,88.18,88.25,6487609
2016-10-12,88.49,89.61,87.88,88.94,4442601
2016-10-13,88.56,90.03,88.36,89.37,4181452
2016-10-14,89.84,90.05,89.18,89.18,4794154
2016-10-17,88.51,88.7,86.65,86.73,4622916
2016-10-18,87.44,87.46,86.16,86.16,3144075
2016-10-19,86.77,87.47,86.33,87.24,3663752
2016-10-20,86.73,86.94,86.13,86.2,2477915
2016-10-21,86.04,87.15,86.0,86.97,6591274
2016-10-24,87.03,88.0,86.93,87.8,3493528
2016-10-25,86.52,87.13,85.56,85.73,2963659
2016-10-26,85.44,85.89,85.23,85.73,2261868
2016-10-27,86.04,86.08,85.17,85.36,2251181
2016-10-28,85.3,85.92,85.08,85.72,2094227
2016-10-31,86.33,86.34,85.58,86.28,3895866
2016-11-01,62.21,62.63,60.58,60.69,12111827
2016-11-02,60.67,60.68,59.62,59.7,10132851
2016-11-03,59.89,60.45,59.73,60.15,7187780
2016-11-04,60.18,60.25,59.57,59.81,4125211
2016-11-07,60.65,62.04,60.23,62.01,4963068
2016-11-08,62.08,62.2,61.65,62.0,4932465
2016-11-09,61.02,62.1,60.76,61.87,4187637
2016-11-10,61.72,62.1,61.27,61.34,6740331
2016-11-11,61.22,61.3,60.62,60.7,5618947
2016-11-14,61.1,61.45,60.64,60.7,3699294
2016-11-15,60.78,60.94,60.37,60.7,4151920
2016-11-16,60.49,60.75,60.34,60.4,4927971
2016-11-17,60.56,60.92,60.37,60.76,2883333
2016-11-18,61.83,62.45,61.38,62.36,4719453
2016-11-21,62.33,62.37,61.88,62.0,2934293
2016-11-22,62.02,62.84,62.0,62.73,2545436
2016-11-23,62.48,63.21,62.48,63.15,1990577
2016-11-25,63.13,63.45,62.97,63.34,871985
2016-11-28,63.08,63.67,62.77,63.11,3501755
2016-11-29,63.16,63.88,63.16,63.54,3167273
2016-11-30,63.54,63.69,63.2,63.39,4875838
2016-12-01,63.44,63.54,62.54,62.69,3354121
2016-12-02,62.51,62.74,62.32,62.42,2048499
2016-12-05,62.59,63.35,62.56,63.06,2280923
2016-12-06,63.06,63.51,62.94,63.46,2884012
2016-12-07,63.42,64.48,63.35,64.44,2654989
2016-12-08,64.49,64.81,64.24,64.36,2033839
2016-12-09,64.34,64.53,63.96,64.49,2395020
2016-12-12,64.34,64.99,64.09,64.74,2275353
2016-12-13,64.82,65.32,64.6,64.62,2007306
2016-12-14,64.69,64.77,63.8,63.88,2695126
2016-12-15,63.58,64.12,63.39,63.81,2583333
2016-12-16,64.08,64.47,63.67,64.25,3392698
2016-12-19,64.21,64.44,64.01,64.04,1540613
2016-12-20,64.11,64.49,64.0,64.22,1679482
2016-12-21,64.12,64.56,64.05,64.19,1095522
2016-12-22,64.03,64.25,63.75,64.05,1513171
2016-12-23,63.87,64.01,63.6,63.81,1300700
2016-12-27,64.01,64.49,63.87,64.03,1402924
2016-12-28,64.06,64.25,63.62,63.72,1820157
2016-12-29,63.56,63.94,63.53,63.63,1421616
2016-12-30,63.93,63.94,63.16,63.33,1887055
2017-01-03,63.56,63.79,62.82,63.21,4793381
2017-01-04,63.15,63.8,63.07,63.44,2835207
2017-01-05,63.35,63.77,63.18,63.65,4040018
2017-01-06,63.65,64.83,63.38,64.42,2863835
2017-01-09,64.38,64.85,64.33,64.6,1944170
2017-01-10,64.76,65.18,64.66,64.98,2560696
