"","stock","clust"
"1","AAP",2
"2","ADM",1
"3","AFL",1
"4","ALK",2
"5","ALLE",1
"6","AMG",1
"7","APD",1
"8","APH",1
"9","ATVI",1
"10","AWK",1
"11","BBY",1
"12","BLL",2
"13","CA",2
"14","CB",2
"15","CBG",2
"16","CBOE",1
"17","CBS",2
"18","CERN",1
"19","CF",1
"20","CL",2
"21","CNC",1
"22","COL",1
"23","COST",1
"24","COTY",2
"25","CSCO",1
"26","CSX",2
"27","CTAS",1
"28","CVS",1
"29","DE",2
"30","DGX",2
"31","DLPH",1
"32","DPS",1
"33","DRI",2
"34","EBAY",1
"35","ED",1
"36","EMN",1
"37","EMR",1
"38","EQIX",1
"39","ETFC",1
"40","EXPD",2
"41","EXPE",2
"42","F",1
"43","FCX",1
"44","FLIR",1
"45","FOX",2
"46","FTV",1
"47","GRMN",1
"48","GT",2
"49","HAL",2
"50","HAS",2
"51","HBAN",2
"52","HCN",2
"53","HES",2
"54","HLT",1
"55","HOG",2
"56","HOLX",2
"57","HP",2
"58","HRB",2
"59","HSIC",2
"60","HST",2
"61","IBM",2
"62","ILMN",1
"63","INCY",2
"64","INFO",1
"65","IPG",2
"66","JBHT",1
"67","JWN",2
"68","KLAC",1
"69","KR",2
"70","LB",2
"71","LEG",2
"72","LKQ",1
"73","LNC",2
"74","LOW",1
"75","LUK",2
"76","LVLT",2
"77","MGM",1
"78","MKC",1
"79","MMM",2
"80","MPC",2
"81","NEM",1
"82","NRG",1
"83","NUE",2
"84","NVDA",1
"85","NWL",2
"86","O",1
"87","ORLY",1
"88","PBCT",2
"89","PCAR",1
"90","PFE",1
"91","PHM",1
"92","PLD",1
"93","PM",2
"94","PPG",2
"95","PWR",1
"96","PXD",2
"97","PYPL",1
"98","Q",1
"99","RE",2
"100","RHI",2
"101","SEE",2
"102","SLG",2
"103","SNA",2
"104","SNI",1
"105","SP500",1
"106","SRE",1
"107","STZ",1
"108","SYMC",1
"109","SYY",1
"110","TAP",2
"111","TEL",1
"112","TGT",1
"113","UA",2
"114","UDR",1
"115","UHS",2
"116","URI",1
"117","USB",2
"118","VMC",2
"119","VZ",1
"120","WDC",2
"121","WLTW",1
"122","WM",1
"123","WMB",2
"124","XRAY",2
