"","stock","clust"
"1","AAP",1
"2","ADM",1
"3","AFL",2
"4","ALK",3
"5","ALLE",4
"6","AMG",3
"7","APD",4
"8","APH",4
"9","ATVI",4
"10","AWK",3
"11","BBY",4
"12","BLL",4
"13","CA",2
"14","CB",4
"15","CBG",2
"16","CBOE",4
"17","CBS",1
"18","CERN",4
"19","CF",1
"20","CL",4
"21","CNC",4
"22","COL",4
"23","COST",1
"24","COTY",4
"25","CSCO",1
"26","CSX",4
"27","CTAS",4
"28","CVS",2
"29","DE",4
"30","DGX",4
"31","DLPH",4
"32","DPS",3
"33","DRI",4
"34","EBAY",4
"35","ED",4
"36","EMN",2
"37","EMR",3
"38","EQIX",4
"39","ETFC",2
"40","EXPD",3
"41","EXPE",4
"42","F",3
"43","FCX",1
"44","FLIR",4
"45","FOX",1
"46","FTV",4
"47","GRMN",4
"48","GT",1
"49","HAL",1
"50","HAS",4
"51","HBAN",2
"52","HCN",4
"53","HES",1
"54","HLT",4
"55","HOG",1
"56","HOLX",2
"57","HP",1
"58","HRB",4
"59","HSIC",4
"60","HST",3
"61","IBM",3
"62","ILMN",2
"63","INCY",3
"64","INFO",4
"65","IPG",3
"66","JBHT",3
"67","JWN",2
"68","KLAC",4
"69","KR",1
"70","LB",2
"71","LEG",2
"72","LKQ",4
"73","LNC",2
"74","LOW",1
"75","LUK",3
"76","LVLT",4
"77","MGM",4
"78","MKC",4
"79","MMM",4
"80","MPC",4
"81","NEM",3
"82","NRG",3
"83","NUE",1
"84","NVDA",4
"85","NWL",4
"86","O",3
"87","ORLY",1
"88","PBCT",3
"89","PCAR",1
"90","PFE",3
"91","PHM",3
"92","PLD",4
"93","PM",4
"94","PPG",2
"95","PWR",1
"96","PXD",1
"97","PYPL",4
"98","Q",4
"99","RE",4
"100","RHI",2
"101","SEE",2
"102","SLG",3
"103","SNA",1
"104","SNI",1
"105","SP500",4
"106","SRE",4
"107","STZ",4
"108","SYMC",1
"109","SYY",4
"110","TAP",1
"111","TEL",4
"112","TGT",1
"113","UA",2
"114","UDR",4
"115","UHS",1
"116","URI",1
"117","USB",2
"118","VMC",4
"119","VZ",1
"120","WDC",4
"121","WLTW",4
"122","WM",2
"123","WMB",1
"124","XRAY",2
